P-state;Threads;Runtime;Commits;Aborts;Throughput;Package_energy;Core_energy;Dram_energy;Package_power;Core_power;Dram_power
0;1;5.792588;2489218.000000;0.000000;430111.011425;106.781392;85.027993;8.878822;17.225458;13.716462;1.431531
0;2;3.172279;2489218.000000;1614.600000;784807.996536;74.254497;61.486854;5.804147;20.580990;17.042258;1.608602
0;3;2.141560;2489218.000000;3288.200000;1163156.014479;60.272173;51.156937;4.312281;23.556281;19.994280;1.685035
0;4;1.655188;2489220.000000;5887.800000;1504185.871120;53.612973;46.163810;3.742507;25.870924;22.276597;1.805708
1;1;6.513671;2489218.000000;0.000000;382196.685464;87.253683;62.825486;9.566162;12.488992;8.992430;1.369240
1;2;3.626730;2489218.000000;1604.400000;687095.855334;62.561070;48.103563;6.188400;15.221367;11.704568;1.505920
1;3;2.299055;2489218.000000;3059.600000;1082916.136245;50.498748;40.584649;4.677027;18.135549;14.575290;1.679477
1;4;1.828059;2489220.000000;5776.000000;1363654.225359;47.002821;38.705711;4.121096;20.321081;16.735313;1.779886
2;1;6.816580;2489218.000000;0.000000;365177.114803;83.009370;57.429125;9.858837;11.343691;7.848007;1.347267
2;2;3.728171;2489218.000000;1646.000000;667974.615378;58.435483;43.501415;6.339388;13.772753;10.253238;1.493956
2;3;2.474725;2489218.000000;3043.200000;1006697.456739;48.268785;37.614723;4.885168;16.071714;12.525179;1.626331
2;4;1.898918;2489220.000000;5956.000000;1311247.937024;43.905625;35.218477;4.204298;18.075528;14.499823;1.730549
3;1;7.082009;2489218.000000;0.000000;351498.413383;78.367096;51.755544;10.129991;10.291094;6.796483;1.330265
3;2;3.928624;2489218.000000;1764.800000;633839.119741;55.477275;39.732613;6.539351;12.388718;8.873034;1.460405
3;3;2.585231;2489218.000000;3050.400000;963543.522046;44.999812;33.908946;5.008056;14.362282;10.823068;1.598219
3;4;2.073454;2489220.000000;6140.600000;1201229.402043;41.655619;32.307278;4.461219;15.880511;12.317079;1.699855
4;1;7.297162;2489218.000000;0.000000;341142.930140;77.095762;49.670637;10.365049;9.821168;6.327491;1.320385
4;2;3.998338;2489218.000000;1598.200000;622881.298491;53.261631;37.216421;6.662458;11.665004;8.151242;1.459101
4;3;2.678616;2489218.000000;3171.200000;929324.752817;44.015769;32.534475;5.173742;13.556910;10.020688;1.593424
4;4;2.086710;2489220.000000;5811.000000;1193757.919592;39.913789;30.446406;4.511573;15.037638;11.471240;1.699372
5;1;7.764784;2489218.000000;0.000000;320586.556940;74.506365;45.333758;10.855526;8.915036;5.424401;1.298912
5;2;4.279144;2489218.000000;1591.000000;582049.421872;51.409878;34.250779;7.025702;10.515641;7.006369;1.437111
5;3;2.863193;2489218.000000;3205.800000;869784.243789;41.919888;29.589377;5.393773;12.016915;8.482356;1.546193
5;4;2.226075;2489220.000000;5953.800000;1119210.151592;37.631752;27.549344;4.665357;13.255421;9.704609;1.642967
6;1;8.275787;2489218.000000;0.000000;300800.966647;74.518303;43.396605;11.398591;8.355292;4.865788;1.278058
6;2;4.532383;2489218.000000;1575.600000;549357.487358;50.040485;31.840018;7.297418;9.632505;6.129195;1.404850
6;3;3.055998;2489218.000000;3074.000000;815498.892573;41.253032;27.956801;5.776133;10.955468;7.424820;1.533543
6;4;2.385521;2489220.000000;6143.400000;1044328.691853;37.126553;26.216876;4.923827;12.054886;8.513107;1.598316
7;1;8.764393;2489218.000000;0.000000;284027.240784;72.596299;39.592318;11.871563;7.672485;4.184376;1.254668
7;2;4.856301;2489218.000000;1531.400000;512612.678306;49.551081;30.039218;7.633696;8.889932;5.389364;1.369434
7;3;3.289582;2489218.000000;3128.600000;756958.254681;40.463458;26.346173;5.946299;10.095955;6.573791;1.483517
7;4;2.565522;2489220.000000;5911.800000;970835.230270;36.511601;24.835654;5.128368;11.057585;7.522055;1.552706
