P-state,Threads,Runtime,Commits,Aborts,Throughput,Package_energy,Core_energy,Dram_energy,Package_power,Core_power,Dram_power
0,1,17.432032,23428126,0,1344055.243791,321.821637,255.020307,33.40426,17.160065,13.598175,1.78117
0,2,9.764926,23428127,333979.8,2399232.526558,236.95341,195.691491,24.460509,21.146978,17.464545,2.182991
0,3,6.94634,23428128,942457,3372760.178118,205.34298,173.425484,20.957405,24.386306,20.595833,2.48887
0,4,5.550183,23428129,1603974.8,4221159.509105,188.160456,161.028323,19.067907,26.904848,23.025248,2.726508
1,1,18.696668,23428126,0,1253089.805505,252.957177,181.299902,34.837167,12.539501,8.987249,1.726987
1,2,10.485585,23428127,343661.4,2234327.499854,193.947135,149.590193,25.554903,16.015353,12.352543,2.11022
1,3,7.315723,23428128,979581.6,3203092.290061,172.263658,138.240405,21.670245,19.05406,15.290767,2.396953
1,4,5.816894,23428129,1657043.4,4027701.140612,162.722789,134.063206,19.57556,21.868006,18.016504,2.630725
2,1,19.433127,23428126,0,1205595.720386,239.039622,164.616034,35.702899,11.392816,7.845734,1.701633
2,2,10.892139,23428127,362225.4,2150927.30651,181.189221,135.205147,26.067194,14.38988,10.737861,2.07024
2,3,7.634179,23428128,1030128.4,3068901.031957,159.797809,124.61638,22.065092,17.032938,13.282933,2.351954
2,4,6.035952,23428129,1716867.4,3881517.683342,150.788323,121.103767,19.947801,19.47388,15.640211,2.576204
3,1,20.060417,23428126,0,1167947.423597,224.464758,147.646729,36.367802,10.350966,6.808502,1.677133
3,2,11.298151,23428127,362225,2073688.67614,169.464972,121.771819,26.614666,12.949003,9.304701,2.03369
3,3,7.920557,23428128,1039263.6,2957908.331523,148.537998,112.074689,22.51763,15.222849,11.485915,2.307717
3,4,6.264476,23428129,1775959.8,3739874.300705,138.859447,108.105559,20.345603,17.238451,13.420572,2.525766
4,1,20.448096,23428126,0,1145805.711638,217.559099,139.269248,36.830411,9.837212,6.297253,1.665358
4,2,11.545506,23428127,362862.4,2029262.333791,164.00102,115.277757,26.964885,12.243492,8.606058,2.013074
4,3,8.057614,23428128,1035596.4,2907585.263106,143.053028,105.95018,22.746158,14.383188,10.652702,2.287002
4,4,6.369538,23428129,1789735,3678665.018511,134.072191,102.721185,20.53066,16.276708,12.470629,2.492472
5,1,21.469459,23428126,0,1091248.700534,209.018887,126.887554,37.951404,8.993411,5.459572,1.632934
5,2,12.096458,23428127,372728,1936824.544172,154.609223,103.657327,27.727224,11.00328,7.377124,1.973305
5,3,8.493073,23428128,1070841.8,2758602.245313,134.618821,95.636279,23.358656,12.82403,9.110488,2.22522
5,4,6.64824,23428129,1810621.6,3524524.82164,124.558885,91.81351,20.985005,14.403779,10.617168,2.426724
6,1,22.330053,23428126,0,1049182.550345,203.207024,117.726408,38.951915,8.393772,4.862871,1.608969
6,2,12.70601,23428127,391648,1843879.453696,150.171784,96.722958,28.462012,10.155686,6.541095,1.924815
6,3,8.877445,23428128,1114544.6,2639081.601346,129.415465,88.671636,23.973108,11.748061,8.049433,2.17623
6,4,7.042632,23428129,1908226.4,3326637.134598,119.81992,85.458558,21.551178,13.136205,9.369067,2.362727
7,1,23.393661,23428126,0,1001477.410178,198.553679,108.983437,40.192756,7.816011,4.290107,1.582177
7,2,13.263944,23428127,391614.8,1766748.191752,146.534525,90.359644,29.396824,9.403999,5.798912,1.886582
7,3,9.416572,23428128,1154915.8,2487973.71409,125.395224,82.291964,24.803281,10.709649,7.028324,2.118379
7,4,7.439677,23428129,1948590.2,3149167.129001,116.068367,79.837137,22.226835,12.006949,8.258923,2.299328
