P-state;Threads;Runtime;Commits;Aborts;Throughput;Package_energy;Core_energy;Dram_energy;Package_power;Core_power;Dram_power
0;1;10.373218;22362279.000000;0.000000;2155827.899675;174.521099;137.167862;18.461818;16.821455;13.221172;1.779440
0;2;7.491572;22362281.400000;127.200000;2985045.105201;144.864388;116.973602;15.321567;19.332155;15.610138;2.044672
0;3;6.635065;22362283.800000;233.600000;3370340.764654;137.520241;112.395184;14.383716;20.720146;16.934571;2.167193
0;4;6.214074;22362285.400000;359.800000;3598655.574228;134.199205;110.404173;13.968202;21.589071;17.761087;2.247112
1;1;11.374538;22362279.000000;0.000000;1966019.330107;141.172905;100.416710;19.436156;12.409052;8.826578;1.708447
1;2;8.322476;22362282.600000;107.600000;2686983.314496;120.109348;89.369363;16.174177;14.428466;10.735741;1.942966
1;3;7.405467;22362283.000000;241.600000;3019729.260626;115.450644;87.694832;15.148972;15.585743;11.838739;2.045105
1;4;6.941855;22362286.200000;346.200000;3221371.130871;114.180176;87.897651;14.647204;16.443318;12.658321;2.109372
2;1;11.804312;22362279.000000;0.000000;1894431.552174;134.801547;92.563398;19.884629;11.417613;7.840039;1.684234
2;2;8.740412;22362282.600000;113.800000;2558526.007437;114.214551;82.033310;16.617218;13.064376;9.383354;1.900754
2;3;7.759278;22362283.800000;221.400000;2882035.727806;109.162892;80.174783;15.492209;14.064882;10.329958;1.996073
2;4;7.270900;22362285.800000;356.800000;3075596.880324;108.063932;80.628285;14.954478;14.858391;11.086088;2.056184
3;1;12.273988;22362279.000000;0.000000;1821963.672888;126.949736;83.102192;20.359738;10.341242;6.769459;1.658502
3;2;9.130499;22362281.800000;108.600000;2449195.931218;107.558697;74.040777;16.971209;11.777443;8.107308;1.858306
3;3;8.139588;22362283.400000;231.800000;2747353.218432;102.804119;72.505771;15.859786;12.626803;8.905434;1.947967
3;4;7.661445;22362285.800000;339.600000;2918811.598255;101.473276;72.728146;15.300608;13.241034;9.490147;1.996544
4;1;12.563085;22362279.000000;0.000000;1780122.539097;123.869312;79.041277;20.640939;9.858171;6.290526;1.642730
4;2;9.371203;22362283.000000;115.800000;2386280.917274;104.862537;70.554678;17.208281;11.187378;7.527202;1.835887
