P-state;Threads;Runtime;Commits;Aborts;Throughput;Package_energy;Core_energy;Dram_energy;Package_power;Core_power;Dram_power
0;1;22.829442;4194304.000000;0.000000;183752.045283;427.609281;343.447656;36.279888;18.059962;14.505776;1.532005
0;2;12.319775;4194304.000000;2109.200000;340455.146344;305.920994;257.665710;25.482271;23.168001;19.513529;1.929828
0;3;8.522239;4194303.000000;4417.200000;492179.011401;258.977364;223.549611;21.253303;27.552375;23.783278;2.261131
0;4;6.565851;4194304.000000;6670.800000;638841.543162;230.180661;201.282517;18.951685;30.912623;27.031687;2.545201
1;1;24.834974;4194304.000000;0.000000;168892.151006;339.555344;248.078723;38.107324;13.161070;9.615269;1.477126
1;2;13.399476;4194304.000000;2054.400000;313033.630700;252.726477;200.336584;26.766143;17.532001;13.897658;1.856823
1;3;9.056851;4194303.000000;4450.400000;463118.468371;217.163067;179.411540;22.035674;21.559963;17.811999;2.187716
1;4;6.913553;4194304.000000;6737.000000;606695.872327;200.750975;170.149955;19.538182;25.302261;21.445367;2.462573
2;1;25.827956;4194304.000000;0.000000;162397.332640;318.409634;223.344924;39.113999;11.864423;8.322207;1.457438
2;2;14.019929;4194304.000000;2046.400000;299167.589598;237.124259;182.406442;27.456839;15.709779;12.084656;1.819050
2;3;9.584389;4194303.000000;4406.000000;437637.870384;204.203835;164.459369;22.666385;19.157747;15.429028;2.126524
2;4;7.263754;4194304.000000;6751.200000;577436.692359;185.933288;153.990097;19.975327;22.324386;18.489098;2.398367
3;1;27.179224;4194304.000000;0.000000;154328.626356;302.266121;202.349787;40.444635;10.700708;7.163458;1.431840
3;2;14.529391;4194304.000000;2095.000000;288680.377103;220.628305;164.008796;28.029982;14.096248;10.478751;1.790880
3;3;9.892437;4194303.000000;4469.000000;423994.563775;187.672664;146.660208;23.073293;17.022401;13.302468;2.092806
3;4;7.521462;4194304.000000;6800.800000;557656.743822;170.675149;137.637514;20.361593;19.736801;15.916364;2.354612
4;1;27.481491;4194304.000000;0.000000;152633.001912;290.146450;189.013871;40.699225;10.153819;6.614623;1.424335
4;2;14.951843;4194304.000000;2118.200000;280526.092184;211.803340;153.577231;28.505005;13.148042;9.533573;1.769497
4;3;10.077087;4194303.000000;4490.400000;416229.025431;180.014859;138.285071;23.325709;16.031716;12.315369;2.077347
4;4;7.711656;4194304.000000;6747.600000;543921.840631;164.763006;130.955023;20.612948;18.573055;14.762023;2.323654
5;1;29.502914;4194304.000000;0.000000;142166.553750;288.494086;180.177969;42.726001;9.406897;5.875003;1.393180
5;2;15.987872;4194304.000000;2103.800000;262345.091855;203.793545;141.741715;29.649375;11.835183;8.231561;1.721870
5;3;10.741626;4194303.000000;4466.200000;390484.268441;170.642251;126.400677;24.085766;14.263606;10.565602;2.013275
5;4;8.178698;4194304.000000;6783.400000;512962.269164;153.226548;117.590898;21.231721;16.289642;12.501459;2.257196
6;1;30.599010;4194304.000000;0.000000;137077.048304;274.135175;161.744886;43.801841;8.611221;5.080778;1.375929
6;2;16.983977;4194304.000000;2089.200000;247019.974963;198.333464;132.579751;30.746125;10.843116;7.248377;1.681027
6;3;11.526548;4194303.000000;4481.400000;363951.207380;166.608472;119.349548;25.042893;12.984247;9.301417;1.951688
6;4;8.653493;4194304.000000;6867.800000;484707.030191;148.250035;110.669480;21.887859;14.876991;11.105780;2.196462
7;1;32.761274;4194304.000000;0.000000;128036.433072;275.757937;155.569780;46.011833;8.090705;4.564405;1.349996
7;2;17.701350;4194304.000000;2117.000000;236952.472979;193.013312;124.444066;31.585722;10.102678;6.513638;1.653263
7;3;12.000188;4194303.000000;4502.400000;349523.142114;157.221277;108.053801;25.676302;11.730055;8.061746;1.915675
7;4;9.266459;4194304.000000;6877.200000;452687.735819;143.819370;103.794388;22.713406;13.477235;9.726636;2.128484
8;1;35.944982;4194304.000000;0.000000;116687.931723;284.203301;152.477551;49.269234;7.599860;4.077392;1.317507
8;2;19.319404;4194304.000000;2131.400000;217115.624496;192.278573;117.666496;33.426196;9.223760;5.644569;1.603500
8;3;12.984997;4194303.000000;4460.800000;323017.825080;156.845082;103.782913;26.937224;10.799212;7.145766;1.854712
8;4;9.894494;4194304.000000;6882.000000;423910.929274;138.241785;95.673974;23.591944;12.112851;8.383051;2.067145
9;1;36.588655;4194304.000000;0.000000;114635.284106;274.892778;140.621381;49.858698;7.217830;3.692282;1.309138
9;2;20.005061;4194304.000000;2151.800000;209671.345110;190.593470;113.348733;34.196849;8.821998;5.246581;1.582891
9;3;13.562058;4194303.000000;4619.000000;309286.816756;153.377806;98.127459;27.661465;10.119949;6.474516;1.825133
9;4;10.332361;4194304.000000;6863.000000;405953.744601;136.821049;92.480061;24.219188;11.477634;7.757986;2.031696
10;1;40.693919;4194304.000000;0.000000;103081.685315;286.335839;137.270950;53.993172;6.761014;3.241258;1.274923
10;2;22.313546;4194304.000000;2164.800000;187973.074966;192.455122;106.783650;36.716276;7.999981;4.438792;1.526226
10;3;14.954580;4194303.000000;4600.600000;280486.552960;154.117672;93.446734;29.357298;9.217090;5.588635;1.755754
10;4;11.451692;4194304.000000;6889.600000;366273.531541;136.205193;87.396004;25.648054;10.306890;6.613434;1.940837
11;1;45.348021;4194304.000000;0.000000;92503.198231;299.907277;134.061827;58.523947;6.355535;2.840986;1.240254
11;2;24.249542;4194304.000000;2128.200000;172971.913734;196.406126;103.244255;38.871971;7.497374;3.941234;1.483819
11;3;16.464756;4194303.000000;4584.200000;254746.491738;155.731022;89.147245;31.169574;8.446682;4.835250;1.690609
11;4;12.525426;4194304.000000;6965.400000;334901.626323;137.159805;83.989592;27.126664;9.478304;5.804113;1.874494
12;1;49.554676;4194304.000000;0.000000;84640.674871;308.971438;127.627176;62.625023;5.984627;2.472076;1.213019
12;2;27.309710;4194304.000000;2126.000000;153585.930100;203.361723;98.699491;42.070815;6.891022;3.344487;1.425595
