P-state,Threads,Throughput,Power,Steps,Runtime,Commits,Aborts,Energy
0.000000,1.000000,312411.493074,51.997104,1.000000,48.244232,15072130.000000,0.000000,2508.553466
0.000000,2.000000,609705.441088,57.897326,1.000000,24.725369,15072130.000000,1820.000000,1431.504392
0.000000,3.000000,803879.538763,61.717676,1.000000,18.776189,15072130.000000,3545.000000,1158.593946
0.000000,4.000000,1159885.944182,66.598091,1.000000,12.996422,15072132.000000,5538.200000,865.494330
0.000000,5.000000,1320209.682241,68.471414,1.000000,11.430005,15072131.000000,7279.000000,782.413903
0.000000,6.000000,1625233.714345,71.833219,1.000000,9.282261,15072130.000000,10099.000000,666.677126
0.000000,7.000000,1811346.725730,74.173806,1.000000,8.332117,15072132.000000,9756.800000,617.759710
0.000000,8.000000,1985558.821858,76.436472,1.000000,7.596032,15072132.000000,11684.800000,580.496597
0.000000,9.000000,2233557.589240,79.108248,1.000000,6.760291,15072131.000000,13053.400000,534.515758
0.000000,10.000000,2329401.305001,80.670830,1.000000,6.481752,15072136.000000,17179.400000,522.690825
0.000000,11.000000,2608766.032254,83.496305,1.000000,5.784769,15072137.000000,18095.000000,482.766647
0.000000,12.000000,2790456.319877,85.561626,1.000000,5.406062,15072135.000000,26186.800000,462.466406
0.000000,13.000000,2874150.952259,86.776452,1.000000,5.246356,15072135.000000,27235.800000,455.093049
0.000000,14.000000,2977433.950198,88.083028,1.000000,5.046077,15072132.000000,30661.750000,444.226738
0.000000,15.000000,3100071.276687,89.068307,1.000000,4.863660,15072136.000000,34416.200000,432.954165
0.000000,16.000000,3186367.512524,89.770484,1.000000,4.716110,15072140.000000,36681.400000,423.240799
0.000000,17.000000,3326373.174490,91.315772,1.000000,4.537278,15072137.000000,36439.800000,413.816824
0.000000,18.000000,3708560.720039,95.359935,1.000000,4.055854,15072130.000000,34497.000000,386.335144
0.000000,19.000000,3742055.378355,96.742947,1.000000,4.028514,15072133.000000,41637.800000,389.386943
0.000000,20.000000,3729756.490460,97.088009,1.000000,4.028273,15072136.000000,45603.800000,390.745167
1.000000,1.000000,238835.803226,49.974735,1.000000,63.106259,15072130.000000,0.000000,3153.718025
1.000000,2.000000,474055.644315,53.647858,1.000000,31.794282,15072130.000000,1845.200000,1705.705484
1.000000,3.000000,656885.810409,55.739019,1.000000,22.958246,15072130.000000,3599.800000,1279.588289
1.000000,4.000000,918182.373608,58.209128,1.000000,16.418915,15072132.000000,5462.400000,955.716609
1.000000,5.000000,1074508.634098,60.070375,1.000000,14.033755,15072131.000000,7609.000000,842.954189
1.000000,6.000000,1350534.167675,62.713321,1.000000,11.167307,15072130.000000,9715.400000,700.224905
1.000000,7.000000,1531990.300189,64.844866,1.000000,9.839480,15072132.000000,10165.200000,638.024197
