P-state,Threads,Throughput,Power,Steps,Runtime,Commits,Aborts,Energy
0.000000,1.000000,1119022.671609,52.022437,1.000000,19.958942,23428126.000000,0.000000,1038.293570
0.000000,2.000000,1457221.786132,57.656113,1.000000,15.693011,23428127.000000,437439.000000,904.796463
0.000000,3.000000,2057405.472235,61.641193,1.000000,11.201104,23428128.000000,1340732.000000,690.447121
0.000000,4.000000,2508365.582191,65.544015,1.000000,9.235630,23428129.000000,3200063.000000,605.342786
0.000000,5.000000,2951553.366861,68.093489,1.000000,7.860826,23428130.000000,4777235.400000,535.266330
0.000000,6.000000,3083538.158185,70.555080,1.000000,7.541198,23428131.000000,8578125.400000,532.070427
0.000000,7.000000,3183577.901490,73.091317,1.000000,7.297892,23428132.000000,13442861.200000,533.411037
0.000000,8.000000,3120861.537932,75.574811,1.000000,7.468099,23428133.000000,19479479.800000,564.396199
0.000000,9.000000,2978619.757887,78.097972,1.000000,7.823899,23428134.000000,26470122.400000,611.032542
0.000000,10.000000,2845878.861630,80.617704,1.000000,8.196292,23428135.000000,34021004.400000,660.755902
0.000000,11.000000,2620781.750000,82.890783,1.000000,8.908100,23428136.000000,40826283.800000,738.421083
0.000000,12.000000,2478926.706347,85.338052,1.000000,9.436259,23428137.000000,46864121.800000,805.275978
0.000000,13.000000,2406575.905877,86.967742,1.000000,9.708261,23428138.000000,51784478.000000,844.295812
0.000000,14.000000,2418638.524855,89.265312,1.000000,9.644785,23428139.000000,58179832.200000,860.945000
0.000000,15.000000,2315020.065269,90.654414,1.000000,10.064865,23428140.000000,61654199.400000,912.432735
0.000000,16.000000,2280585.962255,92.002505,1.000000,10.208533,23428141.000000,66925929.800000,939.211206
0.000000,17.000000,2312747.487503,94.837112,1.000000,10.097665,23428142.000000,72358432.000000,957.604299
0.000000,18.000000,2252196.478919,97.348859,1.000000,10.333710,23428143.000000,75344624.200000,1005.963294
0.000000,19.000000,2239946.768235,99.456460,1.000000,10.413334,23428144.000000,80216303.800000,1035.654002
0.000000,20.000000,2203521.024099,101.582789,1.000000,10.584023,23428145.000000,84183239.400000,1075.170062
1.000000,1.000000,969417.697279,50.085709,1.000000,23.099915,23428126.000000,0.000000,1156.973881
1.000000,2.000000,1292245.015991,53.738578,1.000000,17.710790,23428127.000000,467593.200000,951.745488
1.000000,3.000000,1855319.968982,56.094998,1.000000,12.416555,23428128.000000,1495542.600000,696.507030
1.000000,4.000000,2287720.820241,58.375834,1.000000,10.109279,23428129.000000,3243290.800000,590.138064
1.000000,5.000000,2687125.663082,60.633367,1.000000,8.633768,23428130.000000,5087022.200000,523.494034
1.000000,6.000000,2857572.467997,62.768901,1.000000,8.141365,23428131.000000,8872988.600000,511.027635
1.000000,7.000000,2994896.418525,65.379928,1.000000,7.778344,23428132.000000,13349794.400000,508.557511
1.000000,8.000000,2947898.851097,67.673950,1.000000,7.901176,23428133.000000,19577245.400000,534.704551
1.000000,9.000000,2842780.261620,69.772538,1.000000,8.198925,23428134.000000,26604795.200000,572.041199
1.000000,10.000000,2742153.619280,71.691639,1.000000,8.514961,23428135.000000,34034674.800000,610.455151
1.000000,11.000000,2526233.479866,74.097223,1.000000,9.232371,23428136.000000,41560310.000000,684.104096
1.000000,12.000000,2422187.674805,76.848121,1.000000,9.652943,23428137.000000,47323875.400000,741.861308
1.000000,13.000000,2350395.377234,78.255883,1.000000,9.928860,23428138.000000,52213668.400000,776.995179
1.000000,14.000000,2350880.058864,80.682115,1.000000,9.913863,23428139.000000,58508748.400000,799.843350
1.000000,15.000000,2304142.983163,83.191220,1.000000,10.139115,23428140.000000,62266450.000000,843.475990
1.000000,16.000000,2208317.151059,85.372900,1.000000,10.557587,23428141.000000,68463454.200000,901.314661
1.000000,17.000000,2266566.833893,87.628311,1.000000,10.311633,23428142.000000,73128961.000000,903.593720
1.000000,18.000000,2168657.470306,89.715992,1.000000,10.752235,23428143.000000,75529033.800000,964.587765
1.000000,19.000000,2204445.467247,91.922729,1.000000,10.589332,23428144.000000,80816196.600000,973.394370
1.000000,20.000000,2141386.434530,92.976767,1.000000,10.884617,23428145.000000,85096157.800000,1011.962461
2.000000,1.000000,862305.071874,40.973279,1.000000,25.956667,23428126.000000,0.000000,1063.528723
2.000000,2.000000,1136867.453410,43.958474,1.000000,20.135272,23428127.000000,484000.000000,885.117632
2.000000,3.000000,1619380.845060,46.045070,1.000000,14.149986,23428128.000000,1480850.200000,651.535539
