P-state,Threads,Steps, Runtime, Commits, Aborts , Throughput, EnergyPerTx, Power
0.000000,1.000000,0.000000,0.397815,1640000.000000,0.000000,4122588.259365,12.736639,52.507783
0.000000,2.000000,0.000000,0.661047,1546803.333333,0.000000,2358861.940572,24.283719,56.584460
0.000000,3.000000,0.000000,0.694344,1309990.000000,0.000000,1886269.053205,31.814075,59.919352
0.000000,4.000000,0.000000,0.710873,1080104.000000,0.000000,1520312.873644,41.675593,62.799500
0.000000,5.000000,0.000000,0.739360,1050103.333333,0.000000,1420633.853443,45.832774,65.099399
0.000000,6.000000,0.000000,0.787090,939718.000000,0.000000,1192115.818141,57.391838,66.946585
0.000000,7.000000,0.000000,0.811320,1003032.333333,0.000000,1236989.061797,56.223603,68.977865
0.000000,8.000000,0.000000,0.822672,826749.333333,0.000000,1004926.651094,70.560779,70.764176
0.000000,9.000000,0.000000,0.857791,839997.000000,0.000000,975176.967621,79.435003,72.881395
0.000000,10.000000,0.000000,0.874083,933423.333333,0.000000,1067534.906441,73.137594,74.442835
0.000000,11.000000,0.000000,0.907335,1099996.333333,0.000000,1213308.147199,63.269370,76.126556
0.000000,12.000000,0.000000,0.917335,799760.000000,0.000000,871890.118143,89.693729,77.795306
0.000000,13.000000,0.000000,0.932437,1083116.666667,0.000000,1158985.725680,71.180786,79.007622
0.000000,14.000000,0.000000,0.933088,839748.000000,0.000000,898610.159053,91.249917,80.745166
0.000000,15.000000,0.000000,0.944993,599460.000000,0.000000,634388.706850,130.449611,82.751994
0.000000,16.000000,0.000000,0.961179,746741.333333,0.000000,777144.535070,109.247854,83.901988
0.000000,17.000000,0.000000,0.970997,679796.000000,0.000000,700149.483486,122.251484,85.589080
0.000000,18.000000,0.000000,0.988740,779298.000000,0.000000,788350.382421,112.807487,87.931949
0.000000,19.000000,0.000000,0.993358,569715.000000,0.000000,573712.347162,155.104204,88.958155
0.000000,20.000000,0.000000,1.023352,733406.666667,0.000000,716908.450124,128.964782,90.714072
1.000000,1.000000,0.000000,0.499709,1640000.000000,0.000000,3281916.220525,15.300147,50.213919
1.000000,2.000000,0.000000,0.728302,1553470.000000,0.000000,2148100.329148,24.969033,53.140149
1.000000,3.000000,0.000000,0.761878,1249991.000000,0.000000,1640393.995341,33.437966,54.831716
1.000000,4.000000,0.000000,0.767797,986758.666667,0.000000,1283023.395590,44.488089,56.720784
1.000000,5.000000,0.000000,0.793844,633395.000000,0.000000,799652.589010,90.525008,58.370049
1.000000,6.000000,0.000000,0.830081,659802.000000,0.000000,792063.958085,88.890748,59.745418
1.000000,7.000000,0.000000,0.834759,629811.000000,0.000000,749427.548601,93.639651,62.051221
1.000000,8.000000,0.000000,0.850030,480048.000000,0.000000,564359.955790,114.922542,63.728072
1.000000,9.000000,0.000000,0.880687,809997.000000,0.000000,914183.460673,80.404688,65.152452
1.000000,10.000000,0.000000,0.907550,766743.333333,0.000000,844725.988405,81.353901,66.784725
1.000000,11.000000,0.000000,0.918062,696666.666667,0.000000,755409.197360,99.947258,68.351904
1.000000,12.000000,0.000000,0.929348,639808.000000,0.000000,686741.873290,107.058579,70.042369
1.000000,13.000000,0.000000,0.932108,476571.333333,0.000000,510604.763150,142.501379,71.656831
1.000000,14.000000,0.000000,0.951856,559832.000000,0.000000,588226.030703,124.673743,73.323201
1.000000,15.000000,0.000000,0.976130,699370.000000,0.000000,713698.144873,113.646932,75.008254
1.000000,16.000000,0.000000,0.989946,586725.333333,0.000000,592039.823971,131.600647,76.632142
1.000000,17.000000,0.000000,1.002481,623146.333333,0.000000,621407.411486,128.008861,78.088829
1.000000,18.000000,0.000000,1.016878,659406.000000,0.000000,648720.842784,125.295778,79.681105
1.000000,19.000000,0.000000,1.027394,633016.666667,0.000000,615240.553724,134.609423,81.577879
1.000000,20.000000,0.000000,1.031433,600060.000000,0.000000,581780.686461,143.243975,83.335475
2.000000,1.000000,0.000000,0.544527,1640000.000000,0.000000,3011901.451081,13.898786,41.862276
2.000000,2.000000,0.000000,0.774452,1566807.333333,0.000000,2027321.540733,21.401696,43.269662
2.000000,3.000000,0.000000,0.896446,1429996.000000,0.000000,1596882.964376,28.609430,45.438719
2.000000,4.000000,0.000000,0.952369,1213448.000000,0.000000,1273438.250630,37.130929,46.564815
2.000000,5.000000,0.000000,0.996934,1316798.333333,0.000000,1319010.899239,36.642288,48.028055
2.000000,6.000000,0.000000,1.011784,1059682.000000,0.000000,1045931.792783,51.907217,49.671122
2.000000,7.000000,0.000000,1.025811,909727.000000,0.000000,886472.665957,58.098347,50.745221
2.000000,8.000000,0.000000,1.070437,1253456.000000,0.000000,1170780.432263,45.109284,52.795771
2.000000,9.000000,0.000000,1.089976,989997.000000,0.000000,907128.889746,63.327707,54.377174
2.000000,10.000000,0.000000,1.123181,1233453.333333,0.000000,1096693.349569,51.112234,55.630745
2.000000,11.000000,0.000000,1.150543,1173333.333333,0.000000,1020563.956916,57.459677,57.113403
2.000000,12.000000,0.000000,1.156599,1039684.000000,0.000000,898920.630166,65.447343,58.656669
2.000000,13.000000,0.000000,1.189570,1386385.000000,0.000000,1165614.884696,51.704499,60.126736
2.000000,14.000000,0.000000,1.184792,1026354.000000,0.000000,866349.220757,71.742710,61.918619
2.000000,15.000000,0.000000,1.216954,1099005.000000,0.000000,901516.268471,70.859851,62.956657
2.000000,16.000000,0.000000,1.238480,1013434.666667,0.000000,818627.127176,79.876025,64.990754
2.000000,17.000000,0.000000,1.239792,1019694.000000,0.000000,822483.649982,80.918449,66.552057
2.000000,18.000000,0.000000,1.276236,1138974.000000,0.000000,892824.118403,76.582120,67.979818
2.000000,19.000000,0.000000,1.279911,1012826.666667,0.000000,791269.733117,88.006532,69.139875
2.000000,20.000000,0.000000,1.282747,1000100.000000,0.000000,779725.442450,90.237998,70.355141
3.000000,1.000000,0.000000,0.575463,1640000.000000,0.000000,2849882.482346,14.120695,40.242265
3.000000,2.000000,0.000000,0.894609,1520132.000000,0.000000,1707476.943606,25.010829,42.389368
3.000000,3.000000,0.000000,0.946060,1479991.000000,0.000000,1565229.059354,28.144487,43.998940
3.000000,4.000000,0.000000,0.989046,1253453.333333,0.000000,1265073.284803,36.366262,45.443163
3.000000,5.000000,0.000000,1.020571,1316798.333333,0.000000,1290333.362821,36.822146,47.119070
3.000000,6.000000,0.000000,1.037784,1099666.000000,0.000000,1057079.447322,47.838962,48.241752
3.000000,7.000000,0.000000,1.070473,1096337.666667,0.000000,1024049.000010,49.808800,49.842755
3.000000,8.000000,0.000000,1.104733,1226784.000000,0.000000,1110590.409796,46.329235,50.769273
3.000000,9.000000,0.000000,1.133361,1110000.000000,0.000000,980119.320558,54.777282,52.460822
3.000000,10.000000,0.000000,1.156567,1300126.666667,0.000000,1124162.296194,48.062789,54.028754
3.000000,11.000000,0.000000,1.153848,916666.666667,0.000000,794117.138978,69.773733,55.286800
3.000000,12.000000,0.000000,1.192857,1159648.000000,0.000000,970432.449909,59.404817,56.852736
3.000000,13.000000,0.000000,1.220393,1169766.000000,0.000000,958741.680016,61.219036,58.187128
3.000000,14.000000,0.000000,1.228964,1073006.666667,0.000000,872706.905203,68.870519,59.919366
3.000000,15.000000,0.000000,1.254513,1148965.000000,0.000000,916001.207701,67.231173,61.307375
3.000000,16.000000,0.000000,1.272634,1066768.000000,0.000000,838141.843333,75.251642,62.753421
3.000000,17.000000,0.000000,1.308649,1302942.333333,0.000000,995160.716099,64.308516,63.806755
