Benchmark,Heuristic,Pstate,Best_threads,Steps,Time,Commits,Aborts,Throughput,Energy_per_tx,Power
intruder,baseline,3.578947,19.842105,6.210526,101.466268,162382397.894737,222916716.631579,1600094.180143,47.501388,75.667083
intruder,h0,1.473684,18.157895,0.000000,86.099921,175171946.210526,54056636.157895,2035528.846347,38.769975,78.911055
intruder,h1,0.500000,13.900000,0.750000,87.124050,175028405.750000,50531095.100000,2009392.569600,39.832413,80.029130
vacation,baseline,4.700000,20.000000,0.000000,6.156308,6760417.050000,121701.450000,1099450.546274,63.651757,69.906625
vacation,h0,2.650000,17.000000,0.000000,5.613158,5715709.350000,90937.400000,1013766.256368,69.338367,69.873983
vacation,h1,2.600000,17.950000,0.000000,5.743412,5977977.500000,98385.750000,1037588.675979,67.556851,69.814331
genome,baseline,3.526316,20.000000,0.000000,38.742997,13111157.210526,321261.263158,339096.017060,161.771979,54.741765
genome,h0,2.750000,19.450000,0.000000,39.596864,12212280.100000,318317.150000,309729.047698,179.635106,55.190370
genome,h1,1.100000,19.500000,0.000000,36.057815,12452620.450000,319477.550000,349483.183022,180.734087,62.615270
ssca2,baseline,0.210526,20.000000,0.000000,36.113569,150325506.421053,13441.789474,4163106.517105,18.351786,76.380710
ssca2,h0,0.736842,15.789474,0.000000,36.381728,116153892.526316,9945.052632,3195797.799317,22.754086,70.667567
ssca2,h1,0.350000,14.500000,0.000000,35.853912,112203677.200000,9891.700000,3132474.235066,23.438174,71.771947
