Threads: 20	Elapsed time: 7.935473	Commits: 8194300	Aborts: 109217	Net_runtime: 5.110676	Net_throughput: 1258705.026782	Net_power: 70.044873	Net_commits: 6432833	Net_aborts: 4624	Net_error: 13.713960	P-state: 2	Best-threads: 18	Steps: 0	Throughput: 1032616.459774
Threads: 20	Elapsed time: 7.360431	Commits: 8194300	Aborts: 117799	Net_runtime: 5.136577	Net_throughput: 1256544.669168	Net_power: 69.967082	Net_commits: 6454339	Net_aborts: 4802	Net_error: 13.615393	P-state: 4	Best-threads: 20	Steps: 0	Throughput: 1113290.790867
Threads: 20	Elapsed time: 8.180237	Commits: 8194300	Aborts: 115066	Net_runtime: 5.164401	Net_throughput: 1258401.440499	Net_power: 69.772925	Net_commits: 6498890	Net_aborts: 4923	Net_error: 13.656786	P-state: 3	Best-threads: 19	Steps: 0	Throughput: 1001719.136631
Threads: 20	Elapsed time: 9.455035	Commits: 8194300	Aborts: 58476	Net_runtime: 4.243338	Net_throughput: 1006137.987426	Net_power: 69.580653	Net_commits: 4269384	Net_aborts: 2428	Net_error: 15.165574	P-state: 1	Best-threads: 12	Steps: 0	Throughput: 866659.935677
Threads: 20	Elapsed time: 10.074224	Commits: 8194300	Aborts: 108071	Net_runtime: 5.044063	Net_throughput: 1239414.465681	Net_power: 69.406102	Net_commits: 6251685	Net_aborts: 4744	Net_error: 14.068879	P-state: 3	Best-threads: 19	Steps: 0	Throughput: 813392.655352
Threads: 20	Elapsed time: 7.471433	Commits: 8194300	Aborts: 116992	Net_runtime: 5.093009	Net_throughput: 1274131.086199	Net_power: 70.443180	Net_commits: 6489161	Net_aborts: 4927	Net_error: 12.920614	P-state: 5	Best-threads: 20	Steps: 0	Throughput: 1096750.795069
Threads: 20	Elapsed time: 9.448374	Commits: 8194300	Aborts: 61425	Net_runtime: 4.336300	Net_throughput: 1060581.072855	Net_power: 70.512374	Net_commits: 4598998	Net_aborts: 2748	Net_error: 17.310821	P-state: 0	Best-threads: 13	Steps: 0	Throughput: 867270.915758
Threads: 20	Elapsed time: 7.543524	Commits: 8194300	Aborts: 119797	Net_runtime: 5.148003	Net_throughput: 1254673.984090	Net_power: 69.795940	Net_commits: 6459065	Net_aborts: 5059	Net_error: 13.556872	P-state: 4	Best-threads: 20	Steps: 0	Throughput: 1086269.490335
Threads: 20	Elapsed time: 7.517680	Commits: 8194300	Aborts: 119841	Net_runtime: 5.301708	Net_throughput: 1275943.088480	Net_power: 70.846495	Net_commits: 6764678	Net_aborts: 5283	Net_error: 12.546662	P-state: 3	Best-threads: 20	Steps: 0	Throughput: 1090003.841157
Threads: 20	Elapsed time: 7.426407	Commits: 8194300	Aborts: 120525	Net_runtime: 5.216128	Net_throughput: 1263263.928950	Net_power: 69.806475	Net_commits: 6589346	Net_aborts: 4899	Net_error: 13.731175	P-state: 4	Best-threads: 20	Steps: 0	Throughput: 1103400.359567
Threads: 20	Elapsed time: 7.553278	Commits: 8194300	Aborts: 111906	Net_runtime: 5.108820	Net_throughput: 1264392.556357	Net_power: 70.859234	Net_commits: 6459554	Net_aborts: 4592	Net_error: 12.092334	P-state: 4	Best-threads: 20	Steps: 0	Throughput: 1084866.699543
Threads: 20	Elapsed time: 10.686394	Commits: 8194300	Aborts: 83891	Net_runtime: 4.693053	Net_throughput: 1204556.935205	Net_power: 69.668376	Net_commits: 5653049	Net_aborts: 3933	Net_error: 15.854765	P-state: 3	Best-threads: 17	Steps: 0	Throughput: 766797.465583
Threads: 20	Elapsed time: 7.393457	Commits: 8194300	Aborts: 117800	Net_runtime: 5.066893	Net_throughput: 1262911.289988	Net_power: 69.680922	Net_commits: 6399037	Net_aborts: 4591	Net_error: 13.648563	P-state: 4	Best-threads: 20	Steps: 0	Throughput: 1108317.810067
Threads: 20	Elapsed time: 10.839585	Commits: 8194300	Aborts: 104827	Net_runtime: 5.000360	Net_throughput: 1225271.527273	Net_power: 69.739549	Net_commits: 6126799	Net_aborts: 4467	Net_error: 13.476171	P-state: 3	Best-threads: 19	Steps: 0	Throughput: 755960.671024
Threads: 20	Elapsed time: 10.762729	Commits: 8194300	Aborts: 70277	Net_runtime: 4.587939	Net_throughput: 1124896.924343	Net_power: 69.193626	Net_commits: 5160959	Net_aborts: 3414	Net_error: 15.966212	P-state: 0	Best-threads: 15	Steps: 0	Throughput: 761358.950287
Threads: 20	Elapsed time: 9.148284	Commits: 8194300	Aborts: 60406	Net_runtime: 4.308696	Net_throughput: 1005936.206879	Net_power: 70.225451	Net_commits: 4334273	Net_aborts: 2456	Net_error: 15.162941	P-state: 0	Best-threads: 12	Steps: 0	Throughput: 895719.900828
Threads: 20	Elapsed time: 7.430183	Commits: 8194300	Aborts: 117684	Net_runtime: 5.187012	Net_throughput: 1264534.883878	Net_power: 69.945650	Net_commits: 6559157	Net_aborts: 4954	Net_error: 13.686743	P-state: 4	Best-threads: 20	Steps: 0	Throughput: 1102839.603412
Threads: 20	Elapsed time: 7.517166	Commits: 8194300	Aborts: 120640	Net_runtime: 5.117927	Net_throughput: 1263053.648987	Net_power: 69.781431	Net_commits: 6464216	Net_aborts: 5021	Net_error: 13.641551	P-state: 4	Best-threads: 20	Steps: 0	Throughput: 1090078.342011
Threads: 20	Elapsed time: 7.198853	Commits: 8194300	Aborts: 111958	Net_runtime: 5.178041	Net_throughput: 1267779.563509	Net_power: 69.404738	Net_commits: 6564615	Net_aborts: 4719	Net_error: 13.848926	P-state: 3	Best-threads: 20	Steps: 0	Throughput: 1138278.553806
Threads: 20	Elapsed time: 8.959540	Commits: 8194300	Aborts: 65385	Net_runtime: 4.317089	Net_throughput: 883840.917725	Net_power: 66.348412	Net_commits: 3815620	Net_aborts: 1949	Net_error: 17.923016	P-state: 0	Best-threads: 10	Steps: 0	Throughput: 914589.351941
