Benchmark,Heuristic,Throughput,Error
intruder,baseline,1561358.547291,0.520626
intruder,dual,2624603.857461,0.000000
intruder,h0,2839890.191274,0.047199
intruder,h1,2943214.347405,0.130365
vacation,baseline,835536.671592,0.033811
vacation,dual,890138.808846,0.643835
vacation,h0,892466.960580,0.092077
vacation,h1,917964.497519,0.131928
genome,baseline,1705817.589306,0.028745
genome,dual,1869289.504141,0.415310
genome,h0,1816704.931902,0.315331
genome,h1,1822421.905789,0.116094
ssca2,baseline,4710133.764955,0.055941
ssca2,dual,5135562.318108,0.809019
ssca2,h0,5131892.269266,1.936834
ssca2,h1,5129635.759791,0.253666
