Benchmark,Heuristic,Throughput,Error
intruder,baseline,717953.351560,0.221605
intruder,dual,1347443.671641,0.000000
intruder,h0,1372762.534110,0.000000
intruder,h1,1369609.819560,0.000000
vacation,baseline,132771.765027,0.629391
vacation,dual,224205.513141,0.032537
vacation,h0,224446.307080,0.000000
vacation,h1,230326.924246,0.000000
genome,baseline,194735.273268,0.106688
genome,dual,211404.750029,0.000000
genome,h0,190917.323961,0.000000
genome,h1,204303.904343,0.010966
ssca2,baseline,1309547.843387,0.851443
ssca2,dual,1993309.479373,0.000000
ssca2,h0,2052736.786348,0.000000
ssca2,h1,2041970.519303,0.000000
