P-state,Threads,Throughput,Power,Steps,Runtime,Commits,Aborts,Energy
0.000000,1.000000,1571686.363115,52.199683,1.000000,8.256774,22362279.000000,0.000000,430.996346
0.000000,2.000000,1701879.967581,56.640956,1.000000,7.178158,22362281.400000,78.800000,406.567526
0.000000,3.000000,2007740.242564,60.360597,1.000000,5.169067,22362284.600000,185.600000,311.996027
0.000000,4.000000,2116627.761513,63.346080,1.000000,4.603892,22362285.800000,301.600000,291.624241
0.000000,5.000000,2198705.429987,65.635156,1.000000,4.211109,22362290.600000,413.400000,276.393335
0.000000,6.000000,2225330.521279,67.911560,1.000000,4.082839,22362290.600000,561.800000,277.279698
0.000000,7.000000,2254333.540519,69.345575,1.000000,3.955924,22362291.000000,619.000000,274.312958
0.000000,8.000000,2253971.224842,71.534931,1.000000,3.959867,22362293.400000,783.600000,283.272236
0.000000,9.000000,2268948.229858,72.728137,1.000000,3.897162,22362299.000000,890.200000,283.435786
0.000000,10.000000,2271592.306873,74.285219,1.000000,3.883981,22362303.400000,1005.600000,288.521173
0.000000,11.000000,2267117.634042,75.547144,1.000000,3.892925,22362304.200000,1065.200000,294.097257
0.000000,12.000000,2270637.445060,77.485887,1.000000,3.883943,22362303.800000,1210.200000,300.946849
0.000000,13.000000,2251319.041173,78.654245,1.000000,3.958698,22362304.600000,1313.800000,311.375887
0.000000,14.000000,2257358.660744,80.810887,1.000000,3.926086,22362307.000000,1518.600000,317.242291
0.000000,15.000000,2253514.607382,81.776536,1.000000,3.961407,22362312.200000,1603.200000,323.971729
0.000000,16.000000,2263457.572632,83.176053,1.000000,3.893273,22362317.400000,1752.200000,323.836988
0.000000,17.000000,2264672.666284,83.936703,1.000000,3.902976,22362316.600000,1793.400000,327.574478
0.000000,18.000000,2263943.976770,86.957664,1.000000,3.919465,22362315.000000,1985.600000,340.849213
0.000000,19.000000,2262806.873325,88.231249,1.000000,3.914000,22362318.600000,2105.600000,345.324812
0.000000,20.000000,2260796.840011,89.454929,1.000000,3.923210,22362323.800000,2188.800000,350.972747
1.000000,1.000000,1287182.690628,50.377956,1.000000,9.424581,22362279.000000,0.000000,474.790801
1.000000,2.000000,1411555.328686,53.551239,1.000000,7.886385,22362281.000000,85.400000,422.333428
1.000000,3.000000,1645766.608250,55.738546,1.000000,5.636000,22362285.000000,202.400000,314.130214
1.000000,4.000000,1717351.138178,57.483796,1.000000,5.066949,22362285.000000,329.400000,291.259874
1.000000,5.000000,1773208.421867,59.329732,1.000000,4.639191,22362288.600000,426.400000,275.224381
1.000000,6.000000,1792212.656773,61.405518,1.000000,4.519111,22362290.600000,580.200000,277.516794
1.000000,7.000000,1817058.868376,62.529541,1.000000,4.354468,22362291.000000,696.600000,272.276976
1.000000,8.000000,1831207.508033,64.393836,1.000000,4.234624,22362293.400000,836.600000,272.679978
