P-state,Threads,Throughput,Power,Steps,Runtime,Commits,Aborts,Energy
0.000000,1.000000,155167.896485,52.229442,1.000000,52.811322,8194304.000000,0.000000,2758.299812
0.000000,2.000000,228961.926907,58.078265,1.000000,34.350125,8194304.000000,5590.600000,1994.352255
0.000000,3.000000,352339.331928,63.756927,1.000000,22.827426,8194305.000000,12850.800000,1455.397373
0.000000,4.000000,444339.079102,67.879115,1.000000,17.522086,8194304.000000,19185.200000,1188.824630
0.000000,5.000000,554157.335528,71.320536,1.000000,14.172882,8194305.000000,26311.800000,1010.790491
0.000000,6.000000,637917.107324,73.961986,1.000000,12.149607,8194302.000000,32312.800000,898.268293
0.000000,7.000000,731557.892325,77.008562,1.000000,10.826802,8194305.000000,39133.000000,833.388272
0.000000,8.000000,842870.582319,80.896931,1.000000,9.252319,8194304.000000,46519.400000,748.490283
0.000000,9.000000,928122.876433,84.017570,1.000000,8.368543,8194302.000000,52666.600000,703.071052
0.000000,10.000000,994996.409286,85.679741,1.000000,7.973696,8194300.000000,59542.000000,682.850254
0.000000,11.000000,1096720.374142,87.547370,1.000000,7.439546,8194307.000000,66268.800000,651.020245
0.000000,12.000000,1163729.010422,89.627288,1.000000,6.846382,8194308.000000,73371.200000,613.195354
0.000000,13.000000,1276969.531944,92.238647,1.000000,6.353105,8194303.000000,80691.400000,585.990065
0.000000,14.000000,1320828.553243,93.004230,1.000000,6.166783,8194298.000000,85874.600000,573.146409
0.000000,15.000000,1394404.305008,94.872730,1.000000,5.836161,8194305.000000,92623.400000,553.117603
0.000000,16.000000,1477693.591083,97.012592,1.000000,5.444452,8194304.000000,100250.000000,527.919461
0.000000,17.000000,1563193.366948,99.346782,1.000000,5.183338,8194306.000000,107392.800000,514.616505
0.000000,18.000000,1684578.098942,102.675586,1.000000,4.853798,8194302.000000,114760.400000,498.142731
0.000000,19.000000,1746934.500165,105.035126,1.000000,4.682952,8194301.000000,122062.400000,491.586205
0.000000,20.000000,1879447.414532,109.076837,1.000000,4.354951,8194300.000000,128090.600000,475.020109
1.000000,1.000000,124303.816375,50.281933,1.000000,65.921261,8194304.000000,0.000000,3314.644432
1.000000,2.000000,191023.340351,53.998084,1.000000,41.466708,8194304.000000,5683.600000,2238.745404
1.000000,3.000000,292474.027575,56.817379,1.000000,27.487090,8194305.000000,12898.200000,1561.669989
1.000000,4.000000,376964.028060,59.300445,1.000000,20.572746,8194304.000000,19317.000000,1219.949184
1.000000,5.000000,475652.501951,61.895663,1.000000,17.033637,8194305.000000,26318.600000,1054.241014
1.000000,6.000000,556546.674631,64.190774,1.000000,14.294874,8194302.000000,32497.000000,917.357148
1.000000,7.000000,645163.651635,66.834543,1.000000,12.556524,8194305.000000,39516.400000,839.164698
1.000000,8.000000,742939.589941,69.655586,1.000000,10.635882,8194304.000000,46060.800000,740.677901
1.000000,9.000000,827844.955869,71.980058,1.000000,9.696975,8194302.000000,52752.000000,697.833712
1.000000,10.000000,907490.423439,74.359909,1.000000,8.905610,8194300.000000,59727.000000,662.120021
1.000000,11.000000,988746.018469,76.362360,1.000000,8.255884,8194307.000000,65990.200000,630.239072
1.000000,12.000000,1087351.248296,79.132727,1.000000,7.466716,8194308.000000,73596.400000,590.704469
1.000000,13.000000,1158488.784387,81.541124,1.000000,7.045197,8194303.000000,80019.000000,574.421527
1.000000,14.000000,1231463.996775,83.544341,1.000000,6.651677,8194298.000000,87334.400000,555.429377
1.000000,15.000000,1332265.408269,86.501030,1.000000,6.106002,8194305.000000,92976.800000,527.979862
1.000000,16.000000,1396809.097140,88.221762,1.000000,5.840692,8194304.000000,102161.600000,515.074646
1.000000,17.000000,1480958.888796,91.407767,1.000000,5.385228,8194306.000000,108857.800000,492.199826
1.000000,18.000000,1541312.194261,92.816446,1.000000,5.221520,8194302.000000,115553.000000,484.279571
1.000000,19.000000,1652740.706012,95.627193,1.000000,4.913484,8194301.000000,121052.200000,469.670245
1.000000,20.000000,1701875.644276,96.889519,1.000000,4.806679,8194300.000000,132168.200000,465.519352
2.000000,1.000000,113162.071952,41.127166,1.000000,72.412213,8194304.000000,0.000000,2978.119280
2.000000,2.000000,171797.721924,44.158986,1.000000,46.203202,8194304.000000,5582.800000,2039.922695
2.000000,3.000000,262960.036175,46.672089,1.000000,30.417884,8194305.000000,12908.200000,1419.616556
2.000000,4.000000,340353.275833,48.969605,1.000000,22.843792,8194304.000000,19454.400000,1118.686028
2.000000,5.000000,426063.583480,50.984601,1.000000,19.227455,8194305.000000,26353.600000,980.273088
2.000000,6.000000,493383.064724,52.950055,1.000000,16.443977,8194302.000000,32470.400000,870.455523
2.000000,7.000000,588782.797954,55.832935,1.000000,13.441876,8194305.000000,39968.600000,750.390413
2.000000,8.000000,670824.363944,58.057608,1.000000,11.809086,8194304.000000,45946.800000,685.477871
2.000000,9.000000,744006.128527,60.338743,1.000000,10.877835,8194302.000000,53093.800000,656.207598
2.000000,10.000000,838830.149274,63.198728,1.000000,9.459061,8194300.000000,60156.200000,597.798909
2.000000,11.000000,910703.773071,65.221524,1.000000,8.893198,8194307.000000,67087.000000,579.873955
2.000000,12.000000,978614.800464,67.315804,1.000000,8.268904,8194308.000000,73348.000000,556.425932
2.000000,13.000000,1053808.904296,69.193628,1.000000,7.665799,8194303.000000,82092.400000,530.276560
2.000000,14.000000,1145573.924781,71.846557,1.000000,7.147009,8194298.000000,86051.400000,513.352385
2.000000,15.000000,1217401.473891,73.753618,1.000000,6.632450,8194305.000000,93828.800000,489.164922
2.000000,16.000000,1292272.610761,75.729782,1.000000,6.326710,8194304.000000,102526.200000,478.983967
2.000000,17.000000,1363223.105683,78.076166,1.000000,5.927794,8194306.000000,108335.200000,462.788879
2.000000,18.000000,1445051.972329,80.414421,1.000000,5.653472,8194302.000000,113781.200000,454.593001
2.000000,19.000000,1474459.431081,81.320248,1.000000,5.546530,8194301.000000,120134.400000,450.877606
2.000000,20.000000,1574977.101750,84.071260,1.000000,5.199248,8194300.000000,131472.600000,436.943352
3.000000,1.000000,108511.904093,40.133835,1.000000,75.517221,8194304.000000,0.000000,3030.775811
3.000000,2.000000,165817.444242,43.073805,1.000000,49.417121,8194304.000000,5613.400000,2128.566207
3.000000,3.000000,252486.715251,45.445302,1.000000,32.457628,8194305.000000,13015.400000,1475.008077
3.000000,4.000000,325940.053162,47.642016,1.000000,24.298858,8194304.000000,19252.200000,1157.455997
3.000000,5.000000,413099.399427,49.903216,1.000000,19.538212,8194305.000000,26352.600000,975.016108
3.000000,6.000000,486003.569778,52.137924,1.000000,16.411691,8194302.000000,32709.200000,855.489924
3.000000,7.000000,574275.095436,54.666723,1.000000,13.869716,8194305.000000,39999.400000,758.189990
3.000000,8.000000,650768.537054,56.873207,1.000000,12.145965,8194304.000000,46505.000000,690.797633
3.000000,9.000000,731938.893103,59.085540,1.000000,10.996650,8194302.000000,53505.000000,649.672116
3.000000,10.000000,802159.544590,61.091759,1.000000,10.025159,8194300.000000,60549.400000,612.375226
3.000000,11.000000,855944.539592,62.537783,1.000000,9.571965,8194307.000000,66406.000000,598.541413
3.000000,12.000000,951231.056956,65.481171,1.000000,8.514339,8194308.000000,74174.600000,557.369117
3.000000,13.000000,1015380.453909,67.173223,1.000000,8.055812,8194303.000000,79999.200000,540.961201
3.000000,14.000000,1081158.307148,68.888106,1.000000,7.485631,8194298.000000,88383.000000,515.472764
3.000000,15.000000,1148744.984857,70.844716,1.000000,7.131115,8194305.000000,93570.800000,504.910841
3.000000,16.000000,1234291.803380,73.040194,1.000000,6.640063,8194304.000000,100818.600000,484.642668
3.000000,17.000000,1278840.801367,74.446320,1.000000,6.377271,8194306.000000,107902.600000,474.497943
3.000000,18.000000,1343021.725726,76.189873,1.000000,6.098621,8194302.000000,114911.200000,464.418757
3.000000,19.000000,1422022.483094,78.473239,1.000000,5.762000,8194301.000000,121964.400000,451.872293
3.000000,20.000000,1473717.978564,80.067243,1.000000,5.558175,8194300.000000,129981.800000,444.836007
4.000000,1.000000,104389.535007,39.429355,1.000000,78.497058,8194304.000000,0.000000,3095.074522
4.000000,2.000000,159412.443422,42.155672,1.000000,50.664165,8194304.000000,5664.000000,2135.569216
4.000000,3.000000,245857.768054,44.546751,1.000000,33.150586,8194305.000000,13083.600000,1476.735526
4.000000,4.000000,310908.278557,46.590589,1.000000,26.078823,8194304.000000,19278.200000,1215.005899
4.000000,5.000000,400190.313899,48.627256,1.000000,20.259262,8194305.000000,26732.400000,985.094206
4.000000,6.000000,467237.573156,50.437232,1.000000,16.960556,8194302.000000,32923.800000,855.392354
4.000000,7.000000,552832.560646,52.998503,1.000000,14.549330,8194305.000000,40241.400000,771.021061
4.000000,8.000000,623206.769885,54.912419,1.000000,12.826491,8194304.000000,46168.200000,704.263321
4.000000,9.000000,695511.875209,57.136375,1.000000,11.497273,8194302.000000,53272.400000,656.721903
4.000000,10.000000,769910.194961,59.232184,1.000000,10.427359,8194300.000000,60460.000000,617.603375
4.000000,11.000000,836915.062912,60.936940,1.000000,9.597698,8194307.000000,66575.000000,584.726616
4.000000,12.000000,916446.942982,63.315891,1.000000,8.862714,8194308.000000,73356.200000,561.001579
4.000000,13.000000,966090.051408,64.561761,1.000000,8.469974,8194303.000000,80493.600000,546.758268
4.000000,14.000000,1034722.675887,66.628242,1.000000,7.893176,8194298.000000,86994.000000,525.709506
4.000000,15.000000,1098100.955079,68.102137,1.000000,7.466003,8194305.000000,95321.600000,508.211150
4.000000,16.000000,1136644.753717,69.538492,1.000000,7.213999,8194304.000000,102155.200000,501.446849
