P-state,Threads,Runtime,Throughput,Commits,,,
0,1,0.856054,0,0,,1.501707836,1.285543
0,2,0.744157,0,0,,1.727515833,1.285543
0,3,0.356702,0,0,,3.60396914,1.285543
0,4,0.314732,0,0,,4.08456401,1.285543
0,5,0.354804,0,0,,3.623248329,1.285543
0,6,0.438436,0,0,,2.932110958,1.285543
0,7,0.429385,0,0,,2.993916881,1.285543
0,8,0.48203,0,0,,2.666935668,1.285543
0,9,0.57349,0,0,,2.241613629,1.285543
0,10,0.567655,0,0,,2.264655469,1.285543
0,11,0.628181,0,0,,2.046453172,1.285543
0,12,0.621259,0,0,,2.06925453,1.285543
0,13,0.603917,0,0,,2.128674967,1.285543
0,14,0.61472,0,0,,2.091265942,1.285543
0,15,0.689572,0,0,,1.86426218,1.285543
0,16,0.699929,0,0,,1.836676291,1.285543
0,17,0.721765,0,0,,1.781110195,1.285543
0,18,0.701833,0,0,,1.83169358,1.285543
0,19,0.692077,0,0,,1.85751441,1.285543
0,20,0.701503,0,0,,1.832555242,1.285543
1,1,1.188757,0,0,,1.081417817,1.285543
1,2,0.957648,0,0,,1.342396162,1.285543
1,3,0.457325,0,0,,2.811005303,1.285543
1,4,0.362355,0,0,,3.547744615,1.285543
1,5,0.349015,0,0,,3.683345988,1.285543
1,6,0.416538,0,0,,3.086256236,1.285543
1,7,0.413456,0,0,,3.109261929,1.285543
1,8,0.485824,0,0,,2.646108467,1.285543
1,9,0.524274,0,0,,2.45204416,1.285543
1,10,0.554813,0,0,,2.317074402,1.285543
1,11,0.593175,0,0,,2.167223838,1.285543
1,12,0.59854,0,0,,2.147797975,1.285543
1,13,0.602373,0,0,,2.134131178,1.285543
1,14,0.590656,0,0,,2.176466505,1.285543
1,15,0.651076,0,0,,1.974489921,1.285543
1,16,0.66921,0,0,,1.920985939,1.285543
1,17,0.703203,0,0,,1.828125022,1.285543
1,18,0.731306,0,0,,1.757872901,1.285543
1,19,0.698008,0,0,,1.84173104,1.285543
1,20,0.746177,0,0,,1.722839219,1.285543
2,1,1.245659,0,0,,1.032018393,1.285543
2,2,1.030481,0,0,,1.247517421,1.285543
2,3,0.490925,0,0,,2.618613841,1.285543
2,4,0.397924,0,0,,3.230624441,1.285543
