Benchmark,Heuristic,Pstate,Best_threads,Steps,Time,Commits,Aborts,Throughput,Energy_per_tx,Power
intruder,baseline,10.947368,15.473684,0.578947,152.204363,174437419.842105,133233065.842105,1146287.166430,43.182382,49.489953
intruder,h0,9.850000,14.100000,0.450000,146.837259,175783728.400000,37073372.700000,1197342.005362,41.530845,49.714691
intruder,h1,9.550000,14.850000,0.000000,150.047467,175684254.200000,33713953.000000,1171377.058311,42.706866,50.002915
vacation,baseline,9.250000,11.750000,0.000000,7.054385,4311629.950000,67608.300000,589116.173827,92.513887,49.220252
vacation,h0,9.200000,11.500000,0.000000,6.541652,3738505.600000,69607.100000,554358.340081,96.907835,49.340150
vacation,h1,8.300000,11.500000,0.000000,6.374548,3646526.600000,69888.050000,556305.022551,96.219638,48.759006
genome,baseline,11.000000,16.350000,0.000000,63.962646,10427519.900000,331637.150000,163255.666640,252.268366,41.021569
genome,h0,10.250000,14.250000,0.000000,59.211161,8249032.700000,329459.350000,139298.086350,303.534886,42.152223
genome,h1,9.300000,14.550000,0.000000,59.115741,8241374.950000,326420.700000,139687.656546,304.262070,42.420047
ssca2,baseline,10.842105,19.315789,0.000000,56.205764,146871038.000000,12384.105263,2615075.545058,18.480293,48.207559
ssca2,h0,3.684211,6.263158,0.000000,40.850394,51304411.631579,7028.210526,1259000.380357,45.383454,56.840097
ssca2,h1,2.200000,5.900000,0.000000,40.589805,48570630.400000,7242.350000,1195310.013926,49.184007,58.045040
