Threads: 20	Elapsed time: 19.770046	Commits: 23428145	Aborts: 0	Net_runtime: 18.986280	Net_throughput: 1233720.018679	Net_power: 50.931457	Net_commits: 23423754	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 2	Steps: 9	Throughput: 1185032.397248
Threads: 20	Elapsed time: 19.265951	Commits: 23428145	Aborts: 0	Net_runtime: 18.552886	Net_throughput: 1262571.754104	Net_power: 50.674076	Net_commits: 23424350	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 3	Steps: 6	Throughput: 1216038.860447
Threads: 20	Elapsed time: 19.424257	Commits: 23428145	Aborts: 0	Net_runtime: 18.624093	Net_throughput: 1257736.716821	Net_power: 50.695368	Net_commits: 23424205	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 1	Steps: 0	Throughput: 1206128.242214
Threads: 20	Elapsed time: 19.635750	Commits: 23428145	Aborts: 0	Net_runtime: 18.931730	Net_throughput: 1237393.092350	Net_power: 50.764141	Net_commits: 23425992	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 1	Steps: 0	Throughput: 1193137.259030
Threads: 20	Elapsed time: 19.784870	Commits: 23428145	Aborts: 0	Net_runtime: 18.976726	Net_throughput: 1234498.805876	Net_power: 50.818148	Net_commits: 23426746	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 1	Steps: 0	Throughput: 1184144.505747
Threads: 20	Elapsed time: 19.457500	Commits: 23428145	Aborts: 0	Net_runtime: 18.670938	Net_throughput: 1254705.451400	Net_power: 50.494411	Net_commits: 23426528	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 1	Steps: 0	Throughput: 1204067.584374
Threads: 20	Elapsed time: 19.520750	Commits: 23428145	Aborts: 0	Net_runtime: 18.832341	Net_throughput: 1244015.707933	Net_power: 50.562298	Net_commits: 23427728	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 1	Steps: 0	Throughput: 1200166.230553
Threads: 20	Elapsed time: 19.498128	Commits: 23428145	Aborts: 0	Net_runtime: 18.807587	Net_throughput: 1245624.128678	Net_power: 50.864255	Net_commits: 23427184	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 1	Steps: 0	Throughput: 1201558.686830
Threads: 20	Elapsed time: 20.123215	Commits: 23428145	Aborts: 0	Net_runtime: 19.361564	Net_throughput: 1209960.735121	Net_power: 51.243321	Net_commits: 23426732	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 1	Steps: 0	Throughput: 1164234.693435
Threads: 20	Elapsed time: 18.588222	Commits: 23428145	Aborts: 0	Net_runtime: 17.823338	Net_throughput: 1314267.576471	Net_power: 51.389335	Net_commits: 23424635	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 1	Steps: 0	Throughput: 1260375.788830
Threads: 20	Elapsed time: 19.697296	Commits: 23428145	Aborts: 0	Net_runtime: 18.996347	Net_throughput: 1233042.560772	Net_power: 50.953386	Net_commits: 23423304	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 1	Steps: 0	Throughput: 1189409.201852
Threads: 20	Elapsed time: 18.634791	Commits: 23428145	Aborts: 0	Net_runtime: 17.854737	Net_throughput: 1312022.799236	Net_power: 51.235205	Net_commits: 23425822	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 1	Steps: 0	Throughput: 1257226.074016
Threads: 20	Elapsed time: 19.724323	Commits: 23428145	Aborts: 0	Net_runtime: 19.040164	Net_throughput: 1230373.946331	Net_power: 50.870029	Net_commits: 23426522	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 1	Steps: 0	Throughput: 1187779.421341
Threads: 20	Elapsed time: 19.606435	Commits: 23428145	Aborts: 0	Net_runtime: 18.884146	Net_throughput: 1240415.071200	Net_power: 51.141922	Net_commits: 23424179	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 1	Steps: 0	Throughput: 1194921.219110
Threads: 20	Elapsed time: 19.658930	Commits: 23428145	Aborts: 0	Net_runtime: 18.883639	Net_throughput: 1240553.016426	Net_power: 50.996267	Net_commits: 23426155	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 1	Steps: 0	Throughput: 1191730.420965
Threads: 20	Elapsed time: 19.500858	Commits: 23428145	Aborts: 0	Net_runtime: 18.720521	Net_throughput: 1251285.611031	Net_power: 51.166863	Net_commits: 23424719	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 1	Steps: 0	Throughput: 1201390.467935
