Threads: 20	Elapsed time: 151.398966	Commits: 89239690	Aborts: 0	Net_runtime: 89.725758	Net_throughput: 956545.749198	Net_power: 48.429173	Net_commits: 85826792	Net_aborts: 0	Net_error: 0.010535	P-state: 11	Best-threads: 9	Steps: 6	Throughput: 589433.946972
Threads: 20	Elapsed time: 149.729781	Commits: 89239690	Aborts: 0	Net_runtime: 77.723492	Net_throughput: 924220.094547	Net_power: 48.286079	Net_commits: 71833613	Net_aborts: 0	Net_error: 0.000000	P-state: 7	Best-threads: 20	Steps: 0	Throughput: 596004.945136
Threads: 20	Elapsed time: 151.363671	Commits: 89239690	Aborts: 0	Net_runtime: 84.659126	Net_throughput: 923629.877672	Net_power: 48.284825	Net_commits: 78193698	Net_aborts: 0	Net_error: 0.000000	P-state: 7	Best-threads: 20	Steps: 0	Throughput: 589571.390364
Threads: 20	Elapsed time: 152.691821	Commits: 89239690	Aborts: 0	Net_runtime: 94.229957	Net_throughput: 946537.499010	Net_power: 48.745847	Net_commits: 89192188	Net_aborts: 0	Net_error: 0.000066	P-state: 2	Best-threads: 20	Steps: 0	Throughput: 584443.158104
Threads: 20	Elapsed time: 150.629042	Commits: 89239690	Aborts: 0	Net_runtime: 90.752107	Net_throughput: 958018.718445	Net_power: 48.342351	Net_commits: 86942217	Net_aborts: 0	Net_error: 0.013502	P-state: 4	Best-threads: 20	Steps: 0	Throughput: 592446.773392
Threads: 20	Elapsed time: 147.106185	Commits: 89239690	Aborts: 0	Net_runtime: 88.770906	Net_throughput: 1004956.497933	Net_power: 48.158111	Net_commits: 89210899	Net_aborts: 0	Net_error: 0.041169	P-state: 1	Best-threads: 20	Steps: 0	Throughput: 606634.520667
Threads: 20	Elapsed time: 150.960023	Commits: 89239690	Aborts: 0	Net_runtime: 92.460310	Net_throughput: 964751.314945	Net_power: 48.319352	Net_commits: 89201206	Net_aborts: 0	Net_error: 0.110546	P-state: 2	Best-threads: 20	Steps: 0	Throughput: 591147.830201
Threads: 20	Elapsed time: 150.280456	Commits: 89239696	Aborts: 0	Net_runtime: 91.941630	Net_throughput: 970212.908560	Net_power: 48.445569	Net_commits: 89202956	Net_aborts: 0	Net_error: 0.024925	P-state: 0	Best-threads: 20	Steps: 0	Throughput: 593821.035256
Threads: 20	Elapsed time: 148.477127	Commits: 89239690	Aborts: 0	Net_runtime: 90.015110	Net_throughput: 990853.917839	Net_power: 48.262545	Net_commits: 89191824	Net_aborts: 0	Net_error: 0.007907	P-state: 0	Best-threads: 20	Steps: 0	Throughput: 601033.248406
Threads: 20	Elapsed time: 151.329504	Commits: 89239690	Aborts: 0	Net_runtime: 74.218850	Net_throughput: 904416.556690	Net_power: 48.658654	Net_commits: 67124757	Net_aborts: 0	Net_error: 0.044045	P-state: 8	Best-threads: 20	Steps: 0	Throughput: 589704.504238
Threads: 20	Elapsed time: 147.499265	Commits: 89239690	Aborts: 0	Net_runtime: 89.016128	Net_throughput: 1002184.643776	Net_power: 48.536031	Net_commits: 89210597	Net_aborts: 0	Net_error: 0.000000	P-state: 0	Best-threads: 20	Steps: 0	Throughput: 605017.861497
Threads: 20	Elapsed time: 146.891946	Commits: 89239690	Aborts: 0	Net_runtime: 86.905548	Net_throughput: 1000740.150907	Net_power: 48.219047	Net_commits: 86969871	Net_aborts: 0	Net_error: 0.026783	P-state: 5	Best-threads: 20	Steps: 0	Throughput: 607519.284638
Threads: 20	Elapsed time: 146.168455	Commits: 89239690	Aborts: 0	Net_runtime: 81.462873	Net_throughput: 989458.296284	Net_power: 48.453517	Net_commits: 80604116	Net_aborts: 0	Net_error: 0.095252	P-state: 6	Best-threads: 20	Steps: 0	Throughput: 610526.327790
Threads: 20	Elapsed time: 151.949210	Commits: 89239696	Aborts: 0	Net_runtime: 93.562903	Net_throughput: 953379.937932	Net_power: 48.514262	Net_commits: 89200995	Net_aborts: 0	Net_error: 0.030609	P-state: 0	Best-threads: 20	Steps: 0	Throughput: 587299.506473
Threads: 20	Elapsed time: 149.197119	Commits: 89239690	Aborts: 0	Net_runtime: 90.574317	Net_throughput: 984764.970201	Net_power: 48.683629	Net_commits: 89194415	Net_aborts: 0	Net_error: 0.066263	P-state: 0	Best-threads: 20	Steps: 0	Throughput: 598132.796394
