P-state,Threads,Runtime,Commits,Aborts,Throughput,Package0_energy,Dram0_energy,Package1_energy,Dram1_energy,Package0_power,Dram0_power,Package1_power,Dram1_power
0,20,3.951258,15072136.000000,51800.200000,3816316.503006,413.496884,77.431914,446.843552,119.979160,31.240368,5.851117,33.748142,9.060947
1,20,4.278837,15072136.000000,51766.400000,3526148.669674,479.018879,129.227450,476.413777,95.802938,29.997255,8.096510,29.816740,5.990210
2,20,4.547568,15072136.000000,51570.800000,3318866.820804,-25773.194500,121.907533,431.218397,67.377011,-1513.038960,7.077584,25.050072,3.915336
3,20,4.778935,15072136.000000,50158.800000,3156291.149884,432.945468,114.123494,453.096527,84.319758,24.004068,6.330501,25.118004,4.671050
4,20,5.029718,15072136.000000,52741.200000,2998496.087893,432.281651,87.315526,476.785962,124.572332,22.806468,4.608760,25.145567,6.568265
5,20,5.271171,15072136.000000,50969.500000,2861880.862406,465.258965,136.735171,457.162215,76.828155,23.423128,6.889878,23.004109,3.858143
6,20,5.673881,15072136.000000,53085.800000,2658321.168476,446.330632,93.943219,499.661483,134.804353,21.195550,4.464738,23.710130,6.393424
7,20,5.873230,15072136.000000,53600.900000,2569108.088235,480.889632,148.314634,483.321425,84.686380,21.760860,6.715604,21.866176,3.826261
8,20,6.232042,15072136.000000,49549.700000,2422518.684516,462.652307,95.614526,525.766067,153.703079,19.712584,4.066393,22.392082,6.553761
9,20,6.614486,15072136.000000,52864.100000,2284370.624429,474.680108,117.892767,543.385749,145.509223,18.818193,4.664034,21.550665,5.781376
10,20,7.012857,15072136.000000,52360.500000,2153493.581739,496.248443,107.171176,566.540396,170.241963,18.509445,4.001694,21.132109,6.343778
11,20,7.341254,15072136.000000,51737.400000,2056720.624200,524.644165,115.394392,587.666019,179.436608,18.329639,4.030362,20.531109,6.270097
