P-state,Threads,Runtime,Commits,Aborts,Throughput,Package0_energy,Dram0_energy,Package1_energy,Dram1_energy,Package0_power,Dram0_power,Package1_power,Dram1_power
0,6,7.159369,23428131.000000,7945240.900000,3273539.443435,310.641166,76.271866,314.246968,84.340139,33.677797,8.275707,34.056168,9.133042
1,6,7.782531,23428131.000000,8190022.800000,3011176.828187,311.439760,95.206905,313.032725,79.566105,30.029361,9.180034,30.183471,7.671554
2,6,9.007360,23428131.000000,8648335.200000,2601424.178275,292.499593,87.552417,299.696041,61.852360,24.750855,7.409030,25.354686,5.231643
3,6,9.316278,23428131.000000,8808081.300000,2515138.977940,295.696588,87.930892,301.845742,65.773883,24.156699,7.182390,24.653683,5.372401
4,6,9.715793,23428131.000000,8905817.800000,2411468.791935,296.770346,69.514623,316.150216,90.681942,23.224838,5.440495,24.741733,7.096274
5,6,10.158507,23428131.000000,8976884.600000,2306493.726270,304.360244,88.115728,317.857011,77.260604,22.801269,6.598840,23.815839,5.792174
6,6,10.548148,23428131.000000,9046985.500000,2221173.493873,306.366306,73.504979,323.085892,98.238996,22.049220,5.290324,23.252955,7.070426
7,6,11.070388,23428131.000000,8991198.500000,2117259.973198,315.507560,102.177845,326.971563,75.374351,21.611974,6.999191,22.397258,5.163236
8,6,11.636230,23428131.000000,9146220.200000,2013767.868748,317.467211,77.309734,341.704679,108.152016,20.644369,5.027216,22.223707,7.034012
9,6,12.380244,23428131.000000,9361113.700000,1892703.098787,321.798987,83.266154,-25864.041631,111.907021,19.691122,5.095612,-1554.598776,6.847792
10,6,13.143637,23428131.000000,9467010.200000,1782578.794509,333.360853,87.855358,358.630668,116.347488,19.207757,5.062032,20.663673,6.703558
11,6,14.057696,23428131.000000,9603480.000000,1666934.324693,344.719027,92.846977,369.446393,123.330472,18.540972,4.994239,19.870436,6.633117
