P-state,Threads,Runtime,Commits,Aborts,Throughput,Package0_energy,Dram0_energy,Package1_energy,Dram1_energy,Package0_power,Dram0_power,Package1_power,Dram1_power
0,20,9.226113,22362319.000000,2126.400000,2427203.447953,272.480144,51.622898,308.089672,83.488139,29.365496,5.563816,33.236929,9.012150
1,20,11.340039,22362318.200000,2193.500000,1975665.978175,335.745466,100.011147,314.777588,54.480999,29.452258,8.781625,27.623762,4.777730
2,20,12.324566,22362319.800000,2122.100000,1815006.072099,314.158351,81.181740,289.520499,49.807475,25.367509,6.553612,23.391720,4.028576
3,20,12.860405,22362321.400000,2114.300000,1739869.219448,304.033547,78.842021,307.938848,59.469393,23.521573,6.103295,23.849347,4.608268
4,20,13.327230,22362318.200000,2166.800000,1679650.584027,288.225758,59.684350,328.383382,84.033864,21.492358,4.451043,24.552741,6.286482
5,20,14.301753,22362320.200000,2105.100000,1563942.127326,329.930717,87.702426,322.513725,63.122497,22.965580,6.106250,22.454737,4.394905
6,20,14.924800,22362318.600000,2123.200000,1498580.857692,309.234651,66.691211,345.094814,92.043937,20.626895,4.448565,23.033416,6.144266
7,20,15.858539,22362321.400000,2042.000000,1410417.255472,340.786426,97.643702,335.760877,66.223861,21.399665,6.132645,21.084118,4.158591
8,20,16.788146,22362319.800000,2034.400000,1332229.770795,331.545715,76.122928,359.681092,97.574728,19.674012,4.517550,21.336827,5.789056
9,20,17.763744,22362319.800000,2141.200000,1259234.694913,335.156253,80.325727,371.329231,101.745723,18.783523,4.495919,20.826647,5.712962
10,20,19.145131,22362319.800000,2107.300000,1168414.500881,350.651617,83.121568,395.012899,111.542932,18.239426,4.323430,20.548920,5.804063
11,20,20.689913,22362319.400000,2135.200000,1080936.663642,381.624481,95.361881,411.372958,112.621908,18.370877,4.590705,19.805145,5.422806
