Power_limit,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
40,8.461538,3.923077,22.769231,18.360575,21431872.076923,4013339.615385,1305837.972065,33.212859,40.417518
50,3.050000,5.600000,40.700000,9.744201,20504239.850000,7271307.400000,2140328.373445,24.118972,51.273852
60,0.900000,5.650000,41.050000,8.571619,20503170.100000,7641223.900000,2414379.115738,25.955759,62.646160
70,0.850000,5.900000,41.050000,8.144009,20461260.150000,8005253.600000,2545922.757843,24.926832,63.284427
80,1.000000,5.750000,41.050000,8.485439,20507862.550000,8083081.500000,2445446.776683,25.634493,62.546491
90,0.200000,5.550000,40.400000,8.291368,20639090.150000,7102270.200000,2531128.549006,26.386681,66.367534
100,0.650000,5.700000,41.250000,8.513150,20533101.050000,7851783.250000,2453834.815991,26.156082,63.922473
110,0.684211,6.263158,42.315789,8.204496,20358999.368421,10050066.105263,2499784.764762,26.016024,65.101947
TS,0.000000,7.300000,4.300000,7.304953,20091092.700000,14424678.600000,2768330.551281,26.714114,73.466754
STATIC,0.000000,20.000000,1.000000,9.699416,17774841.000000,86559883.200000,1840267.738410,51.890749,94.887665
