P-state,Threads,Runtime,Commits,Aborts,Throughput,Package0_energy,Dram0_energy,Package1_energy,Dram1_energy,Package0_power,Dram0_power,Package1_power,Dram1_power
0,18,5.720080,2210.600000,660.200000,491.186517,582.450712,115.548732,649.044475,155.571854,26.302093,5.153997,29.524364,7.148599
1,18,6.164226,2292.500000,714.600000,523.128061,744.563872,211.497243,730.250194,131.822055,26.161762,7.422845,25.680599,4.637379
2,18,4.925274,2176.500000,634.900000,548.282714,604.315146,130.952968,590.262881,95.600373,21.613281,4.685172,21.053867,3.404819
3,18,5.887994,2227.000000,617.300000,461.624497,632.058624,142.459770,620.366356,100.386687,20.971608,4.715727,20.582136,3.344535
4,18,5.678787,2214.300000,651.900000,445.009631,606.507517,120.220302,674.152681,138.784981,19.316590,3.825034,21.518212,4.442096
5,18,8.997118,2301.500000,663.100000,329.523214,722.806694,163.466202,702.887361,119.903643,20.106657,4.544087,19.554163,3.352572
6,18,9.224246,2205.200000,629.700000,348.611737,687.906564,135.983732,771.988246,178.867596,18.212015,3.639898,20.308879,4.661946
7,18,7.727545,2249.100000,667.400000,356.103685,722.880803,178.550121,694.335472,120.598979,19.154349,4.724643,18.352345,3.186362
8,18,8.755965,2151.100000,638.300000,321.748573,711.169536,155.472932,782.171325,173.695837,17.413897,3.839855,19.116383,4.207871
9,18,10.408205,2200.600000,603.500000,292.653738,742.932467,153.694207,853.895470,211.437204,16.480146,3.434712,18.953555,4.689326
10,18,14.097578,2274.700000,659.600000,206.150233,846.474890,187.156808,940.452665,225.427900,16.527592,3.659315,18.409086,4.413692
11,18,15.075740,2311.300000,672.800000,184.329289,899.085540,197.139236,984.707989,233.589782,16.283640,3.562964,17.866882,4.262689
