P-state,Threads,Runtime,Commits,Aborts,Throughput,Package0_energy,Dram0_energy,Package1_energy,Dram1_energy,Package0_power,Dram0_power,Package1_power,Dram1_power
0,20,4.253607,8194300.000000,132742.900000,1926736.237933,276.844518,52.451922,273.486440,52.947685,48.175447,9.124643,47.593556,9.217086
1,20,4.501778,8194300.000000,129871.000000,1821602.645612,273.335610,55.961516,275.069468,56.270323,44.233150,9.038710,44.488263,9.115017
2,20,4.958188,8194300.000000,130403.900000,1652879.689179,259.637141,49.600360,261.826222,44.229396,38.211076,7.304040,38.531807,6.504189
3,20,5.165905,8194300.000000,131656.300000,1586324.275658,262.052814,48.519620,266.201766,48.467874,37.014076,6.856586,37.598588,6.842003
4,20,5.458263,8194300.000000,129614.800000,1502584.169825,264.098341,44.791018,270.478317,55.905903,35.440317,6.022045,36.298794,7.490581
5,20,5.670110,8194300.000000,128664.500000,1446599.046254,269.606585,54.853659,274.054523,49.261375,34.696276,7.041739,35.249346,6.353461
6,20,5.978609,8194300.000000,131957.900000,1371267.894978,270.098320,42.649064,273.550130,65.733235,33.161044,5.225837,33.583351,8.077674
7,20,6.225152,8194300.000000,132427.200000,1316356.498527,272.738352,64.434769,274.299151,47.197868,32.156853,7.595301,32.340177,5.566139
8,20,6.631847,8194300.000000,131248.600000,1236234.214107,276.273206,-6521.729679,279.009601,67.647421,30.591690,-690.072336,30.897939,7.489067
9,20,6.903672,8194300.000000,129896.000000,1186981.279732,270.648416,51.567132,279.426513,70.169434,28.589838,5.444871,29.518271,7.414975
10,20,7.293361,8194300.000000,132399.800000,1123586.964918,276.370380,53.956891,285.254531,-6498.362386,27.675000,5.402674,28.563782,-654.846230
11,20,7.768570,8194300.000000,129296.400000,1054893.098545,283.059712,60.443723,292.151895,73.332341,26.530307,5.666218,27.383306,6.872298
