Power_limit,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
40,8.142857,3.000000,25.000000,29.279543,5996043.000000,3056476.285714,202546.231727,200.938453,39.406977
50,10.578947,11.105263,42.000000,41.550573,20686236.789474,1395178.631579,498558.699207,97.834232,48.664683
60,10.450000,18.000000,52.600000,50.357572,32254841.750000,2529004.450000,641791.207512,90.261487,57.871245
70,8.100000,19.800000,50.100000,49.945112,35898866.800000,3633084.100000,719903.863137,92.686951,66.669577
80,5.000000,19.900000,47.250000,44.003473,36699987.600000,3799863.600000,834937.504167,90.899424,75.838523
90,1.650000,20.000000,44.300000,38.967113,37034548.300000,3892237.550000,952781.307025,90.390581,86.115739
100,0.473684,19.578947,39.842105,35.205354,36699218.736842,3608755.052632,1044968.552016,90.938339,94.964441
110,0.300000,19.900000,40.050000,35.853416,36965550.750000,3844597.750000,1031918.749217,93.709455,96.669649
TS,0.250000,20.000000,39.950000,35.248766,37185827.600000,3890153.800000,1056309.683530,92.725114,97.890448
STATIC,0.600000,20.000000,38.600000,36.277462,37286583.800000,3932621.600000,1030033.314251,92.761493,95.510695
