P-state;Threads;Runtime;Commits;Aborts;Throughput;Package_energy;Core_energy;Dram_energy;Package_power;Core_power;Dram_power
0;1;6.064252;2299.000000;0.000000;379.124763;361.675649;295.446131;19.795384;20.938889;17.104603;1.146033
0;2;4.187891;2494.000000;18.000000;598.563467;360.223651;297.386360;19.015210;22.076094;18.224861;1.165485
0;3;2.133328;2284.000000;33.800000;1202.392089;317.669048;262.115198;17.146855;22.294602;18.391009;1.205348
0;4;3.031943;2422.800000;54.000000;839.122480;340.490010;281.706835;17.996280;22.441739;18.562812;1.187881
1;1;7.135032;2299.000000;0.000000;322.215096;300.858324;223.644495;22.680142;14.809670;11.008816;1.116431
1;2;5.517523;2413.000000;21.400000;464.221015;311.274081;235.979804;22.262284;15.731475;11.922384;1.127001
1;3;2.798529;2200.800000;29.600000;801.198741;273.164804;207.401288;19.830381;16.014057;12.158472;1.162696
1;4;4.327527;2430.800000;64.000000;778.019652;317.584758;246.277433;21.339081;16.829045;12.999299;1.148266
2;1;7.614044;2299.000000;0.000000;301.947975;288.024275;206.046140;23.907959;13.321590;9.529967;1.105782
2;2;5.034942;2546.800000;18.600000;506.479793;282.587790;205.841868;22.629447;14.025533;10.216548;1.123134
2;3;2.773575;2239.600000;29.000000;844.084155;255.862345;186.843846;20.667696;14.256596;10.409327;1.152214
2;4;3.123176;2338.000000;57.400000;849.616417;269.133198;198.894913;21.069453;14.689287;10.847355;1.152850
3;1;8.133489;2299.000000;0.000000;282.663710;275.174515;187.973201;25.258590;11.925507;8.146373;1.094658
3;2;5.271649;2516.600000;19.000000;477.493842;270.237870;188.795305;23.869592;12.606880;8.807491;1.113560
3;3;3.007327;2249.800000;29.800000;768.831692;244.264682;170.819094;21.827215;12.747216;8.913038;1.139590
3;4;2.701966;2352.000000;58.400000;946.035656;243.498083;171.087026;21.587542;12.902390;9.062196;1.145094
4;1;8.377146;2299.000000;0.000000;274.440926;269.044880;179.085601;25.984089;11.287587;7.513411;1.090144
4;2;5.842169;2537.200000;17.200000;438.457397;269.580389;184.120305;24.924631;11.944279;8.157450;1.104517
4;3;4.118724;2351.400000;35.600000;633.782460;254.183028;174.755193;23.372853;12.181077;8.368697;1.122378
4;4;2.226225;2381.000000;48.400000;1112.224285;224.753221;152.140760;21.618011;11.891807;8.048985;1.144162
5;1;9.047180;2299.000000;0.000000;254.113807;262.302161;165.675321;27.717837;10.214837;6.451897;1.079416
5;2;6.271695;2529.200000;19.600000;407.887487;260.463274;168.822895;26.510113;10.736372;6.958411;1.092996
5;3;3.113205;2195.600000;27.400000;719.274499;225.220566;144.723751;23.661865;10.685112;6.866015;1.122687
5;4;2.317131;2313.800000;54.200000;1139.820293;219.207642;141.514103;22.963149;10.791357;6.960984;1.132410
6;1;9.814634;2299.000000;0.000000;234.249732;264.425544;160.105254;29.722482;9.513085;5.760013;1.069309
6;2;6.486575;2439.400000;16.400000;376.296340;257.729492;159.865692;28.124599;9.924887;6.156186;1.083077
6;3;4.731358;2266.800000;32.000000;523.991543;245.163728;153.490440;26.555486;10.126587;6.337137;1.098158
6;4;4.107213;2505.400000;59.400000;662.779290;243.782701;154.356404;26.000263;10.336096;6.539742;1.104058
7;1;10.695439;2299.000000;0.000000;214.955216;263.297739;150.043317;32.025479;8.697850;4.956576;1.057938
7;2;6.983838;2551.800000;18.600000;365.556169;255.927213;150.089460;30.195943;9.089027;5.330283;1.072388
7;3;4.694335;2254.000000;34.400000;500.004481;235.386202;137.502651;28.170253;9.091804;5.310507;1.088393
7;4;4.403950;2400.200000;64.800000;638.731866;238.335962;141.505619;27.928090;9.289812;5.502663;1.092959
8;1;11.753054;2299.000000;0.000000;195.610905;270.952663;146.419315;34.949520;8.124061;4.390128;1.047908
8;2;8.255526;2513.400000;17.400000;309.429966;267.034192;148.716050;33.436255;8.461529;4.712235;1.059624
8;3;5.195379;2297.600000;32.600000;471.255402;242.867457;135.440034;30.660529;8.532304;4.757477;1.077584
8;4;6.133831;2477.400000;64.400000;469.562595;257.757873;146.987331;31.551604;8.741500;4.974958;1.073586
9;1;12.338619;2299.000000;0.000000;186.326053;271.532886;141.091094;36.496989;7.764578;4.034549;1.043644
9;2;8.831300;2395.600000;18.800000;277.344996;268.853694;144.102622;35.128072;8.058510;4.318448;1.053275
9;3;6.463677;2267.200000;35.800000;382.363674;252.909033;136.412676;33.047108;8.159229;4.399016;1.067153
9;4;4.888795;2298.800000;52.000000;601.002204;241.207207;130.324142;31.621220;8.183675;4.407751;1.077679
10;1;13.790984;2299.000000;0.000000;166.703505;282.817635;137.580605;40.323420;7.242408;3.523168;1.032605
10;2;8.661653;2524.000000;16.200000;309.586676;268.230636;133.432361;37.694117;7.441641;3.700239;1.046488
10;3;6.558759;2292.600000;34.000000;421.597677;258.141527;130.621663;35.868536;7.587406;3.829069;1.058044
10;4;4.787075;2391.000000;54.800000;521.436693;245.305061;124.268163;34.210960;7.639495;3.868634;1.065936
11;1;15.689946;2299.000000;0.000000;146.532947;299.197891;134.816635;45.281354;6.756568;3.044467;1.022556
11;2;10.496624;2455.000000;19.000000;233.945171;287.418344;132.958791;42.829236;6.930499;3.206015;1.032742
11;3;6.958333;2284.000000;31.400000;376.376852;266.393886;124.229443;39.716256;7.012521;3.266092;1.047098
11;4;6.813893;2476.800000;62.600000;479.486349;269.887029;128.407252;39.551803;7.128358;3.379574;1.048722
12;1;18.032941;2299.000000;0.000000;127.489654;324.608740;135.908209;51.561587;6.367563;2.665991;1.011438
12;2;12.003150;2563.000000;17.400000;213.852140;311.466769;134.466099;48.620481;6.538104;2.822609;1.020621
12;3;7.319518;2239.000000;30.600000;320.463802;283.427473;122.718301;44.495308;6.594533;2.854372;1.035648
12;4;6.244296;2511.600000;57.000000;454.489420;279.326836;122.296074;43.568724;6.659195;2.911815;1.039937
13;1;19.561285;2299.000000;0.000000;117.529272;345.449946;141.220036;55.526799;6.254759;2.556947;1.005375
13;2;12.946214;2545.800000;17.600000;196.832683;331.043647;139.836031;52.250452;6.427603;2.715065;1.014514
13;3;8.458585;2274.200000;35.800000;277.842051;306.687166;131.071027;48.301769;6.519572;2.785955;1.026969
13;4;5.023722;2381.600000;54.400000;506.414992;283.788678;120.454086;45.209784;6.515440;2.764383;1.038336
14;1;23.417558;2299.000000;0.000000;98.176064;388.525629;144.530587;65.827614;5.871080;2.184027;0.994733
14;2;16.172791;2484.600000;17.200000;155.394750;377.051257;146.068523;62.521263;6.036409;2.338342;1.001013
14;3;8.462078;2204.800000;34.400000;279.431715;332.909048;128.777197;55.681535;6.072249;2.347964;1.015951
14;4;6.629536;2361.800000;51.400000;376.850213;320.500681;123.484547;53.884237;6.071967;2.338474;1.021169
15;1;29.305405;2299.000000;0.000000;78.449986;455.712896;151.640261;81.181445;5.512744;1.834389;0.982049
15;2;20.503480;2486.400000;16.800000;122.423722;441.021405;152.719604;77.231516;5.642241;1.953827;0.988100
15;3;15.718767;2260.000000;31.800000;159.553970;417.942729;145.776238;73.087032;5.683683;1.981372;0.994476
15;4;15.944982;2558.800000;67.000000;168.198461;427.133257;153.506528;73.545393;5.773486;2.072674;0.994823
