Power_limit,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
40,9.538462,4.000000,19.000000,12.760537,20359811.384615,2652124.230769,1654132.920639,24.413303,39.502391
50,2.950000,5.350000,40.150000,6.975828,19203744.900000,4278367.950000,2792424.528986,19.287745,53.871321
60,0.750000,6.000000,40.350000,5.693735,18820153.400000,5267538.000000,3325268.231834,18.585174,61.823698
70,0.100000,5.950000,41.150000,5.543124,18659776.350000,5083428.200000,3369967.884353,19.307288,64.992730
80,0.300000,6.150000,41.400000,5.430630,18704220.400000,5498008.300000,3449910.195672,18.774160,64.732442
90,0.200000,6.100000,41.500000,5.450444,18731350.250000,5496369.250000,3442676.710735,18.920946,65.069614
100,0.350000,6.200000,41.300000,5.401214,18667766.250000,5603542.600000,3464170.696331,18.702882,64.729206
110,0.400000,6.250000,41.750000,5.387922,18644148.150000,5779954.300000,3470807.863129,18.578348,64.428097
TS,0.000000,6.650000,3.650000,5.074926,18493165.600000,6582405.150000,3656424.286429,18.762219,68.446044
STATIC,0.000000,20.000000,1.000000,9.587876,17536712.000000,86684553.850000,1846438.428560,51.992134,94.628260
