Effective_runtime: 28.527485	Effective_commits: 24492633	Effective_throughput: 858562.657551	Effective_energy_per_tx: 78.304137	Pkg_power: 67.229008	Threads: 20	Elapsed time: 28.665	Commits: 27815653	Aborts: 13026039	P-state: 3	Best-threads: 15	Steps: 59	Throughput: 970358.894289
Effective_runtime: 28.314488	Effective_commits: 26561610	Effective_throughput: 938092.548663	Effective_energy_per_tx: 70.806941	Pkg_power: 66.423463	Threads: 20	Elapsed time: 28.458	Commits: 27926854	Aborts: 14293398	P-state: 5	Best-threads: 17	Steps: 48	Throughput: 981349.451180
Effective_runtime: 28.518353	Effective_commits: 25659928	Effective_throughput: 899768.915797	Effective_energy_per_tx: 74.511963	Pkg_power: 67.043548	Threads: 20	Elapsed time: 28.656	Commits: 27867079	Aborts: 13528929	P-state: 4	Best-threads: 16	Steps: 47	Throughput: 972465.456693
Effective_runtime: 29.066702	Effective_commits: 26460255	Effective_throughput: 910328.756237	Effective_energy_per_tx: 72.832567	Pkg_power: 66.301580	Threads: 20	Elapsed time: 29.227	Commits: 27998960	Aborts: 15159339	P-state: 6	Best-threads: 18	Steps: 49	Throughput: 957981.733909
Effective_runtime: 26.625858	Effective_commits: 26488194	Effective_throughput: 994829.690357	Effective_energy_per_tx: 69.116633	Pkg_power: 68.759279	Threads: 20	Elapsed time: 26.758	Commits: 28019999	Aborts: 16355606	P-state: 4	Best-threads: 19	Steps: 55	Throughput: 1047174.031248
Effective_runtime: 29.513945	Effective_commits: 25979817	Effective_throughput: 880255.655808	Effective_energy_per_tx: 74.829223	Pkg_power: 65.868847	Threads: 20	Elapsed time: 29.659	Commits: 27995212	Aborts: 16804797	P-state: 7	Best-threads: 20	Steps: 56	Throughput: 943898.401023
Effective_runtime: 28.402731	Effective_commits: 24569070	Effective_throughput: 865024.916730	Effective_energy_per_tx: 77.876439	Pkg_power: 67.365060	Threads: 20	Elapsed time: 28.543	Commits: 28042216	Aborts: 15926806	P-state: 6	Best-threads: 20	Steps: 53	Throughput: 982450.072915
Effective_runtime: 28.224448	Effective_commits: 26952082	Effective_throughput: 954919.722658	Effective_energy_per_tx: 70.296440	Pkg_power: 67.127457	Threads: 20	Elapsed time: 28.377	Commits: 27939889	Aborts: 14127940	P-state: 5	Best-threads: 17	Steps: 51	Throughput: 984608.747930
Effective_runtime: 26.936095	Effective_commits: 26299519	Effective_throughput: 976367.173325	Effective_energy_per_tx: 71.278383	Pkg_power: 69.593873	Threads: 20	Elapsed time: 27.081	Commits: 28026655	Aborts: 17285761	P-state: 5	Best-threads: 20	Steps: 53	Throughput: 1034930.850178
Effective_runtime: 28.750143	Effective_commits: 26491848	Effective_throughput: 921451.014423	Effective_energy_per_tx: 72.198654	Pkg_power: 66.527523	Threads: 20	Elapsed time: 28.890	Commits: 27805532	Aborts: 12041505	P-state: 2	Best-threads: 14	Steps: 48	Throughput: 962447.707580
Effective_runtime: 29.224975	Effective_commits: 26769936	Effective_throughput: 915995.178300	Effective_energy_per_tx: 72.042489	Pkg_power: 65.990573	Threads: 20	Elapsed time: 29.362	Commits: 28011546	Aborts: 14925972	P-state: 6	Best-threads: 18	Steps: 49	Throughput: 954019.579916
