Effective_runtime: 8.911442	Effective_commits: 21081723	Effective_throughput: 2365691.542582	Effective_energy_per_tx: 24.600274	Pkg_power: 58.196660	Threads: 20	Elapsed time: 9.067219	Commits: 23428145	Aborts: 5800412	P-state: 1	Best-threads: 5	Steps: 46	Throughput: 2583829.170893
Effective_runtime: 6.313467	Effective_commits: 19349957	Effective_throughput: 3064870.454085	Effective_energy_per_tx: 22.792999	Pkg_power: 69.857589	Threads: 20	Elapsed time: 6.352981	Commits: 23428145	Aborts: 8882959	P-state: 0	Best-threads: 7	Steps: 40	Throughput: 3687740.395586
Effective_runtime: 8.110394	Effective_commits: 19978682	Effective_throughput: 2463343.004991	Effective_energy_per_tx: 25.912665	Pkg_power: 63.831781	Threads: 20	Elapsed time: 8.181350	Commits: 23428145	Aborts: 14283020	P-state: 1	Best-threads: 7	Steps: 41	Throughput: 2863603.808755
Effective_runtime: 8.130734	Effective_commits: 20131785	Effective_throughput: 2476010.902281	Effective_energy_per_tx: 24.699620	Pkg_power: 61.156529	Threads: 20	Elapsed time: 8.204790	Commits: 23428145	Aborts: 8541655	P-state: 1	Best-threads: 6	Steps: 42	Throughput: 2855422.911664
Effective_runtime: 7.629415	Effective_commits: 20255751	Effective_throughput: 2654954.556267	Effective_energy_per_tx: 25.748390	Pkg_power: 68.360807	Threads: 20	Elapsed time: 7.718416	Commits: 23428145	Aborts: 7851122	P-state: 0	Best-threads: 6	Steps: 40	Throughput: 3035356.616455
Effective_runtime: 8.248624	Effective_commits: 20141763	Effective_throughput: 2441833.222220	Effective_energy_per_tx: 25.115565	Pkg_power: 61.328020	Threads: 20	Elapsed time: 8.320448	Commits: 23428145	Aborts: 8846328	P-state: 1	Best-threads: 6	Steps: 41	Throughput: 2815731.222684
Effective_runtime: 10.171200	Effective_commits: 20277791	Effective_throughput: 1993647.911943	Effective_energy_per_tx: 24.766475	Pkg_power: 49.375631	Threads: 20	Elapsed time: 10.293174	Commits: 23428145	Aborts: 9378925	P-state: 4	Best-threads: 6	Steps: 41	Throughput: 2276085.582092
Effective_runtime: 7.353748	Effective_commits: 20455718	Effective_throughput: 2781672.400222	Effective_energy_per_tx: 25.767974	Pkg_power: 71.678062	Threads: 20	Elapsed time: 7.408083	Commits: 23428145	Aborts: 13225853	P-state: 0	Best-threads: 7	Steps: 40	Throughput: 3162511.154378
Effective_runtime: 8.305811	Effective_commits: 20533613	Effective_throughput: 2472198.404925	Effective_energy_per_tx: 25.105092	Pkg_power: 62.064770	Threads: 20	Elapsed time: 8.307855	Commits: 23428145	Aborts: 8859567	P-state: 1	Best-threads: 6	Steps: 43	Throughput: 2819999.221886
Effective_runtime: 9.333558	Effective_commits: 20319758	Effective_throughput: 2177064.603057	Effective_energy_per_tx: 24.130532	Pkg_power: 52.533726	Threads: 20	Elapsed time: 9.439025	Commits: 23428145	Aborts: 8745448	P-state: 2	Best-threads: 6	Steps: 42	Throughput: 2482051.396789
Effective_runtime: 8.141275	Effective_commits: 20111841	Effective_throughput: 2470355.296948	Effective_energy_per_tx: 25.260411	Pkg_power: 62.402190	Threads: 20	Elapsed time: 8.238416	Commits: 23428145	Aborts: 8688628	P-state: 1	Best-threads: 6	Steps: 42	Throughput: 2843768.161709
